objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std,weight_factor
binary,-1,gbdt,21,16,0.12535100899697654,0.8780404908955761,0.9285018421258653,8,34,0.004198171717017728,0.49854409214948636,cpu,42,25142.92003647474,0.9252252167127967,0.9185776995786952,"[np.float64(0.9193645686708224), np.float64(0.9315038047562099), np.float64(0.9303812204982749), np.float64(0.9227716275427047), np.float64(0.9221048620959719)]",0.004818899274253117,911.6267711107376
binary,-1,gbdt,64,10,0.04961722483608193,0.9549919954986972,0.9096420537557849,3,33,0.0009021571889045526,0.8318903618097601,cpu,42,3100.4942743758397,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,112.41707725658723
binary,-1,gbdt,187,10,0.04319360389806428,0.9810359582476558,0.8596216697322896,4,10,0.0495578822233716,2.2618402166262175e-05,cpu,42,15325.513087873916,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,555.669269585472
binary,-1,gbdt,82,16,0.04751303691441597,0.6177338168042522,0.8861449827616277,5,32,4.643940289958009e-06,0.00758815480779496,cpu,42,18458.55277976447,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,669.2663718288288
binary,-1,gbdt,241,14,0.22327976509321534,0.9963111858833452,0.6109195324989575,8,46,0.019072702179634565,5.667804305188961e-06,cpu,42,20939.17378292409,0.6615555232736516,0.42279735128327484,"[np.float64(0.6262237133150592), np.float64(0.6979161154444526), np.float64(0.6354803886290032), np.float64(0.7162965942044324), np.float64(0.6318608047753106)]",0.03775898107216993,759.2082127995385
binary,-1,gbdt,99,14,0.011232482964023842,0.9044970061610861,0.6889013818228331,7,31,0.043880272863673596,4.522937145911855e-08,cpu,42,2778.549891068843,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,100.74408469225399
binary,-1,gbdt,248,11,0.06384120234051045,0.6210277262909808,0.8295817980078126,1,48,2.362050204323111e-08,1.7254863385632916e-08,cpu,42,24025.281548484167,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,871.1036670083555
binary,-1,gbdt,142,15,0.0830177549719937,0.7154549096493306,0.90172465046719,9,18,1.1928824234144557,0.00015808779451716146,cpu,42,25026.248262027362,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,907.3965101519894
binary,-1,gbdt,193,13,0.013671525921965771,0.9719571672340528,0.8548971108131406,9,47,0.0015652607599785499,2.1068618071209748e-05,cpu,42,6107.760470229874,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,221.45391021074667
binary,-1,gbdt,43,20,0.03737392282223454,0.6213956977889584,0.9583301939464599,4,46,0.2925627510276371,0.005956815689860262,cpu,42,19504.677653573985,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,707.1965501655575
