n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std
300,0.012457011471071472,6,0.5092046997823447,0.5421151584253756,0.04821413802598553,2.920239865974992,hist,binary:logistic,auc,5.0,-1,42,0.9040205788771352,0.9551617085322041,"[np.float64(0.8847817046778996), np.float64(0.9070856052134985), np.float64(0.9201944267400072)]",0.01461873252129998
300,0.026375447241818978,7,0.7694868928356835,0.5656384717418156,0.04278374913512064,3.377761891261342,hist,binary:logistic,auc,5.0,-1,42,0.9122803215125228,0.9835042921985847,"[np.float64(0.8868151271053702), np.float64(0.9145467965070376), np.float64(0.9354790409251605)]",0.019931496159605697
300,0.019010876168376475,5,0.5725898920540669,0.7569241787661868,0.0014443867013356443,4.50792951503597,hist,binary:logistic,auc,5.0,-1,42,0.8990861145355605,0.9511378978810705,"[np.float64(0.8748888263850899), np.float64(0.9045544631666413), np.float64(0.9178150540549505)]",0.017946074464990153
300,0.016420483644646336,3,0.6448808369071888,0.834413337554907,0.44956720308159565,3.280344255423946,hist,binary:logistic,auc,5.0,-1,42,0.8781398104572388,0.9136574352497396,"[np.float64(0.8554986783572407), np.float64(0.8833030296771988), np.float64(0.8956177233372768)]",0.01678051582565455
300,0.01236457232664026,7,0.6653435155260281,0.8343773726366607,0.12893135203027603,0.8253816767129235,hist,binary:logistic,auc,5.0,-1,42,0.9036221552485487,0.9693095237657503,"[np.float64(0.8769996512850258), np.float64(0.9099900501729129), np.float64(0.9238767642877077)]",0.019660086388286965
300,0.019135500040247846,5,0.8822679736549139,0.5100299375032948,0.020455990608870354,2.4661959317279614,hist,binary:logistic,auc,5.0,-1,42,0.9010055714640729,0.9542250573996246,"[np.float64(0.8793225698686598), np.float64(0.9051406661386436), np.float64(0.9185534783849151)]",0.01628066955479097
300,0.020892672908532722,4,0.96081190485812,0.5102219192469843,0.8864479285137217,3.4951424411981433,hist,binary:logistic,auc,5.0,-1,42,0.8947330272561715,0.9390494381418311,"[np.float64(0.8756242285452179), np.float64(0.8975493018894122), np.float64(0.9110255513338846)]",0.014589081897186423
300,0.029269892364045688,4,0.6638701229493893,0.6209564044571886,0.014290458621967761,2.765521064068715,hist,binary:logistic,auc,5.0,-1,42,0.8959150626192001,0.949780659190084,"[np.float64(0.871577896027301), np.float64(0.9004922131360427), np.float64(0.9156750786942569)]",0.01829122029701852
300,0.027869713339807138,7,0.6606138924522331,0.9402667910401411,0.0021476325861481196,1.9184442749568515,hist,binary:logistic,auc,5.0,-1,42,0.9115558486976254,0.9845555960902884,"[np.float64(0.8822380070538524), np.float64(0.9180381317355676), np.float64(0.9343914073034563)]",0.02177933706424266
300,0.014629422977372108,7,0.542027023804815,0.997773778829488,0.001872539438765436,2.5352363717337028,hist,binary:logistic,auc,5.0,-1,42,0.9053784852081628,0.971660978711581,"[np.float64(0.8808725756211353), np.float64(0.9103949408137724), np.float64(0.9248679391895807)]",0.01830795135111538
300,0.024575114828181695,8,0.8206075747915009,0.6445702310957755,0.005961009454565394,4.78718607082145,hist,binary:logistic,auc,5.0,-1,42,0.9168077281016466,0.9926515544947648,"[np.float64(0.8929940188941334), np.float64(0.9198139342549685), np.float64(0.9376152311558381)]",0.01834013999407181
300,0.02470626647751087,8,0.7884001644212739,0.6447704061593613,0.006710386151412557,4.985106255286258,hist,binary:logistic,auc,5.0,-1,42,0.916798672885517,0.9918030989433309,"[np.float64(0.890952661113577), np.float64(0.920340375904807), np.float64(0.939102981638167)]",0.019816173308063702
300,0.024277314500600177,8,0.8109841887912683,0.6559620256886719,0.005757124286226596,4.904490070799471,hist,binary:logistic,auc,5.0,-1,42,0.9158942321770479,0.9918658397753292,"[np.float64(0.8913229111570246), np.float64(0.9185301247130229), np.float64(0.9378296606610963)]",0.019077567707555136
300,0.023283849941454653,8,0.8549746126407124,0.6907405995463753,0.006675692562532754,4.2578878314294295,hist,binary:logistic,auc,5.0,-1,42,0.9174280650150846,0.9906512804207703,"[np.float64(0.8916881209662916), np.float64(0.9214843288658798), np.float64(0.9391117452130823)]",0.019571918514300873
300,0.022272748447231414,8,0.874252861141543,0.7194321082969803,0.005258471072581819,4.219865629388135,hist,binary:logistic,auc,5.0,-1,42,0.9158204434589092,0.9910282026870103,"[np.float64(0.8890673565357393), np.float64(0.9202749262211695), np.float64(0.938119047619819)]",0.02027147276447785
300,0.02291998910567765,6,0.9846803506064027,0.7275581369551954,0.010497113695286837,4.087584944448028,hist,binary:logistic,auc,5.0,-1,42,0.909117097797253,0.9737604482361899,"[np.float64(0.8853668596074605), np.float64(0.9136090829699711), np.float64(0.9283753508143272)]",0.01784313177045483
300,0.02582037830793204,8,0.8820013848652586,0.7944742075178433,0.0036031910757290063,3.949714445230185,hist,binary:logistic,auc,5.0,-1,42,0.9161226376624579,0.9932949988335622,"[np.float64(0.8905260191888481), np.float64(0.9195462571743762), np.float64(0.9382956366241493)]",0.019651547274121505
300,0.016814068546745345,6,0.7282368296742185,0.6846880178419482,0.14007927967263906,1.617688333971691,hist,binary:logistic,auc,5.0,-1,42,0.9042051265399879,0.963376522886143,"[np.float64(0.8792354330833545), np.float64(0.9089756722749216), np.float64(0.9244042742616871)]",0.018746104187362618
