n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,device,random_state,scale_pos_weight,reg_alpha,reg_lambda,colsample_bytree,subsample,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,409,20,0.012617677365577252,31,cpu,42,5.0,0.00621846665787934,0.1905380543418821,0.9080818556399682,0.8679805876123267,0.9307106338227653,0.9995973662479312,"[np.float64(0.9153310255879), np.float64(0.9303140181163918), np.float64(0.9464868577640042)]",0.01272240668165943
300,binary,-1,gbdt,455,13,0.01285825425253809,31,cpu,42,5.0,0.18280365184336073,0.3508208061525542,0.9360860443007635,0.8800657429117448,0.9265881102991319,0.9988352893264189,"[np.float64(0.9130391089025409), np.float64(0.9242471570932771), np.float64(0.9424780649015779)]",0.012131861055702624
300,binary,-1,gbdt,245,10,0.028604634501820936,95,cpu,42,5.0,0.13487184272258318,0.020285772218259057,0.9504696694426548,0.9484145217637742,0.926366716083289,0.9943749112315898,"[np.float64(0.9099269609752237), np.float64(0.924907342291128), np.float64(0.9442658449835154)]",0.01405672004493846
300,binary,-1,gbdt,258,17,0.021043521347097825,98,cpu,42,5.0,0.14831439886817843,0.2834688832418345,0.8647526773833566,0.9430942655596161,0.9309023156821815,0.9978910427235071,"[np.float64(0.9146349697720215), np.float64(0.9313466401206817), np.float64(0.9467253371538417)]",0.013104604479088837
300,binary,-1,gbdt,281,17,0.022991691851136267,19,cpu,42,5.0,0.3877771281110485,0.22542543315916225,0.8350407087029866,0.8238128489909134,0.9298512699880269,0.9996191242380404,"[np.float64(0.9154573880875005), np.float64(0.9284864615655856), np.float64(0.9456099603109949)]",0.012347507965732347
300,binary,-1,gbdt,146,15,0.027610391843054367,80,cpu,42,5.0,0.1035211128674135,0.25593575381683187,0.9949990282756964,0.9705950212458991,0.9303425827239774,0.9982113964166358,"[np.float64(0.9138650254866967), np.float64(0.929865760704021), np.float64(0.9472969619812146)]",0.013652694822449431
300,binary,-1,gbdt,158,13,0.012941360083039708,24,cpu,42,5.0,0.49844686927827764,0.28589984288435544,0.9904731073757072,0.894694846291653,0.9250989435599054,0.99381539310101,"[np.float64(0.9086380980948522), np.float64(0.9243730721595363), np.float64(0.9422856604253275)]",0.013746145633430242
300,binary,-1,gbdt,154,20,0.024660814667918626,24,cpu,42,5.0,0.37901210421243436,0.4738179658564008,0.9133507761525851,0.8002477403555456,0.9315396632638122,0.9993246201574856,"[np.float64(0.9173446909267562), np.float64(0.9302297040827192), np.float64(0.9470445947819611)]",0.012160264992841823
300,binary,-1,gbdt,505,20,0.029445089433342203,95,cpu,42,5.0,0.2636259511644248,0.3196643441338314,0.8024964869556185,0.9015309210950521,0.9323657106234814,0.9992524876051393,"[np.float64(0.9173945950144039), np.float64(0.9326974024594643), np.float64(0.9470051343965759)]",0.012090727169511142
300,binary,-1,gbdt,373,20,0.02262617403897116,41,cpu,42,5.0,0.08170899414207583,0.004970769311940404,0.8579914930336847,0.9012072813688358,0.9312416857797271,0.9992548025448086,"[np.float64(0.9169139423387977), np.float64(0.9302827935938813), np.float64(0.9465283214065021)]",0.01210901778454054
