n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std
300,0.028034548908449954,8,0.6350600910823879,0.7516910725835851,0.003532135425196755,4.248086544017921,hist,binary:logistic,auc,5.0,-1,42,0.9151365422383405,0.9899070509066412,"[np.float64(0.8891825056943632), np.float64(0.9186695901491975), np.float64(0.9375575308714611)]",0.019906407442103022
300,0.015927312459942812,3,0.9204096372373793,0.8026186286983974,0.0015082117366341304,3.5583605466193804,hist,binary:logistic,auc,5.0,-1,42,0.88053131114245,0.9136964182082471,"[np.float64(0.8645614966892008), np.float64(0.8827719389932284), np.float64(0.8942604977449211)]",0.012227645611514416
300,0.027318647252795432,4,0.9343435628110777,0.8548189250368248,0.41213242694067964,1.0185024052308633,hist,binary:logistic,auc,5.0,-1,42,0.8918738354017939,0.9481869070712022,"[np.float64(0.8627059772205331), np.float64(0.8988925542499815), np.float64(0.9140229747348673)]",0.021529907403020753
300,0.01582548860787978,6,0.996795293807176,0.8004770092240068,0.06291652886569478,4.233120069286901,hist,binary:logistic,auc,5.0,-1,42,0.9034157749916041,0.9662920072613481,"[np.float64(0.8787648503865487), np.float64(0.9087019995048778), np.float64(0.9227804750833856)]",0.01835396290662684
300,0.017040350163935257,8,0.5548641339244484,0.6100531109834079,0.0586903598455584,4.716927664717518,hist,binary:logistic,auc,5.0,-1,42,0.9148147501917627,0.9826852257152194,"[np.float64(0.891868693518433), np.float64(0.917974201928473), np.float64(0.934601355128382)]",0.017588001469279267
300,0.015687526535399458,5,0.6979987410131723,0.7128678073349792,0.009285009015415418,0.19068215065468408,hist,binary:logistic,auc,5.0,-1,42,0.8981099195915235,0.9501677173794412,"[np.float64(0.8751123222218671), np.float64(0.9032977823034337), np.float64(0.9159196542492696)]",0.01705862492381081
300,0.014900223721406852,5,0.6254309855267606,0.751253973200405,0.029362500909480976,3.9123992125974603,hist,binary:logistic,auc,5.0,-1,42,0.8963979444238784,0.9429386308888285,"[np.float64(0.8727237809430517), np.float64(0.9015985659160175), np.float64(0.9148714864125658)]",0.017595304620165036
300,0.013264095199759022,4,0.7741440448670114,0.5767916650398246,0.003691613109684095,4.433750208819708,hist,binary:logistic,auc,5.0,-1,42,0.8884846580585695,0.9265481668103147,"[np.float64(0.8690416827052059), np.float64(0.8914673706198388), np.float64(0.9049449208506635)]",0.01480839982351742
300,0.011457039968443796,6,0.5584478829095499,0.9390795997891543,0.0054483672044370905,2.9516661392512527,hist,binary:logistic,auc,5.0,-1,42,0.8997367862914333,0.9551392394016802,"[np.float64(0.879645837167268), np.float64(0.9041967836909021), np.float64(0.9153677380161299)]",0.014920505636347853
300,0.0260977945171676,3,0.5740212950221013,0.8858520249397428,0.10381649571031877,2.9447022229643034,hist,binary:logistic,auc,5.0,-1,42,0.8840476690031401,0.9238992004036776,"[np.float64(0.8608356464913803), np.float64(0.8895154691693491), np.float64(0.9017918913486906)]",0.017161509785878132
300,0.022984436873470775,8,0.7555773296192496,0.9924145797829547,0.0011959370783737136,1.838708133200864,hist,binary:logistic,auc,5.0,-1,42,0.9148108144006567,0.9931312825805257,"[np.float64(0.8907055742535481), np.float64(0.9183508742732197), np.float64(0.9353759946752022)]",0.018407618587382595
300,0.020386437100278564,8,0.5073827964307454,0.5888889899803559,0.02289976501135721,4.8827527282812,hist,binary:logistic,auc,5.0,-1,42,0.916055048234038,0.9846878717884872,"[np.float64(0.8920318376645571), np.float64(0.9190989664481889), np.float64(0.9370343405893681)]",0.01849784484645415
300,0.021709584809499798,7,0.5058112998962381,0.6603258709935571,0.014098689855291181,4.803416432963195,hist,binary:logistic,auc,5.0,-1,42,0.9112169777964082,0.9764807010867892,"[np.float64(0.8883178511605105), np.float64(0.9147176093969139), np.float64(0.9306154728317999)]",0.017444445457197862
300,0.02968201108058544,7,0.663354754639012,0.516448221088328,0.37553415692969294,4.983870822331258,hist,binary:logistic,auc,5.0,-1,42,0.9061483487596274,0.985328527911901,"[np.float64(0.8766556933268517), np.float64(0.9103537812159174), np.float64(0.9314355717361134)]",0.022560629663814585
300,0.019422173042471493,8,0.5096414278902024,0.687917785761976,0.020724460572089234,3.373256007243032,hist,binary:logistic,auc,5.0,-1,42,0.9141683948542334,0.98448492254583,"[np.float64(0.8892925988844645), np.float64(0.9174240010320857), np.float64(0.9357885846461499)]",0.019120990240686878
300,0.02501767341608899,7,0.8264748674273119,0.6150935266728965,0.0038309572865630613,2.3800676877510165,hist,binary:logistic,auc,5.0,-1,42,0.9149590283775453,0.9840225204781158,"[np.float64(0.8898124353161205), np.float64(0.9184975702985367), np.float64(0.9365670795179788)]",0.019250803408438995
300,0.029795327468200968,7,0.6262826933226092,0.5055655114767421,0.12381317314927022,3.9591978372434165,hist,binary:logistic,auc,5.0,-1,42,0.9124918056289862,0.9827814759815968,"[np.float64(0.8864863527871057), np.float64(0.9161050499328617), np.float64(0.9348840141669911)]",0.019922768508419834
300,0.019990197909129093,8,0.700928817346209,0.7462685659657704,0.002270247208321773,1.9803615897885765,hist,binary:logistic,auc,5.0,-1,42,0.9148625336708656,0.9880760491653969,"[np.float64(0.8890712638973051), np.float64(0.9192617441083998), np.float64(0.936254593006892)]",0.019512071918365133
300,0.023387613548574167,6,0.6067709211142253,0.6508911400808906,0.0074122030029212145,3.6466599166523865,hist,binary:logistic,auc,5.0,-1,42,0.9083072865595513,0.9682675241335775,"[np.float64(0.8828335623833927), np.float64(0.9128519832913714), np.float64(0.9292363140038893)]",0.01921448309264893
300,0.018371257650656784,8,0.8258787349558746,0.5705839616020891,0.013763200807720198,4.324884455105092,hist,binary:logistic,auc,5.0,-1,42,0.9176954365053959,0.9865712452851302,"[np.float64(0.8958932339728524), np.float64(0.920715969807742), np.float64(0.9364771057355931)]",0.01670539589247702
300,0.018641967740865437,7,0.8391157637855395,0.5509971225843409,0.7948958099689573,3.184466726224078,hist,binary:logistic,auc,5.0,-1,42,0.9006189402846004,0.9626621192854766,"[np.float64(0.8563085039544388), np.float64(0.9137242806714887), np.float64(0.9318240362278736)]",0.032191731481103415
300,0.017900098091817487,8,0.8224383787479057,0.5763884442836891,0.014052661920428968,4.344988602524909,hist,binary:logistic,auc,5.0,-1,42,0.9169554012473636,0.986877732468915,"[np.float64(0.8955634526567079), np.float64(0.9192670692640821), np.float64(0.9360356818213013)]",0.016603376968807267
300,0.017743900678378027,8,0.8146325002972472,0.5700878397265454,0.014005865290758838,4.716246445319922,hist,binary:logistic,auc,5.0,-1,42,0.9171905310921056,0.9872640345020041,"[np.float64(0.8960161873650465), np.float64(0.9198148562389009), np.float64(0.9357405496723693)]",0.016323225825755943
