n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,min_child_samples,device,random_state,scale_pos_weight,reg_alpha,reg_lambda,colsample_bytree,subsample,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,227,13,0.01365378241459215,27,cpu,42,5.0,0.3278882177800078,0.06230800029395145,0.8570103246134058,0.9819620313235848,0.9264325394834684,0.9973155724214974,"[np.float64(0.910343034666993), np.float64(0.9250120461391603), np.float64(0.943942537644252)]",0.013753666204219315
300,binary,-1,gbdt,325,15,0.02874768569590319,53,cpu,42,5.0,0.10243401105177619,0.02282647894307893,0.8272843652151214,0.9857925579523783,0.9292543850969076,0.9991766104067791,"[np.float64(0.9142569207397843), np.float64(0.9277341562034342), np.float64(0.9457720783475044)]",0.012910838126067421
300,binary,-1,gbdt,388,14,0.013152757488814093,18,cpu,42,5.0,0.4899658079974681,0.19599619349635256,0.8375036017962416,0.8955964471361378,0.9271709628611292,0.9991524785795628,"[np.float64(0.9117253280694197), np.float64(0.9252148770165075), np.float64(0.9445726834974606)]",0.013481021067353872
300,binary,-1,gbdt,133,15,0.025657786217185265,18,cpu,42,5.0,0.42740871927972435,0.27349548361534903,0.8806389014834796,0.8518213641030208,0.927367228329135,0.9976532146052138,"[np.float64(0.9109101108377392), np.float64(0.9249791788089157), np.float64(0.94621239534075)]",0.014510683608204981
300,binary,-1,gbdt,258,16,0.016841195338095107,82,cpu,42,5.0,0.10110496230219795,0.435141648071009,0.9996209834267081,0.8974476227511092,0.9289869840201744,0.9980674208068812,"[np.float64(0.9120703507180609), np.float64(0.9280983845589842), np.float64(0.9467922167834784)]",0.01418906157380909
300,binary,-1,gbdt,438,19,0.023407390158312613,65,cpu,42,5.0,0.37315343065504375,0.19934281052450814,0.9047536732625032,0.990756043308619,0.9318336612243234,0.999832228340921,"[np.float64(0.9165202428811754), np.float64(0.9307279497875705), np.float64(0.9482527910042244)]",0.0129783306818566
300,binary,-1,gbdt,309,14,0.022602326636956792,32,cpu,42,5.0,0.3191435823491176,0.4763235152180989,0.8477704872982179,0.9367772401959154,0.9278027799084922,0.9992319892496909,"[np.float64(0.9121752673096852), np.float64(0.9265617055571782), np.float64(0.9446713668586132)]",0.013295470923904276
300,binary,-1,gbdt,493,13,0.02487565391941509,91,cpu,42,5.0,0.08947492116010253,0.3554995724368265,0.8592197918780252,0.8496923283241253,0.9294478362364309,0.9982015883300436,"[np.float64(0.9108775931978635), np.float64(0.9306293030945848), np.float64(0.9468366124168441)]",0.014703960095848127
300,binary,-1,gbdt,200,13,0.01179395981830713,40,cpu,42,5.0,0.4417878325520248,0.4397910644347564,0.9055233445616431,0.9862962587178937,0.9262345982184549,0.9955870189448883,"[np.float64(0.9123434569347707), np.float64(0.9248871033468664), np.float64(0.9414732343737279)]",0.011930291704522923
300,binary,-1,gbdt,170,13,0.019740727574717218,11,cpu,42,5.0,0.224136152401397,0.30199275749855015,0.9610179496151143,0.830718558520097,0.9241398279212101,0.996917121229508,"[np.float64(0.9023926238160536), np.float64(0.9251475107238466), np.float64(0.9448793492237302)]",0.017359762430015673
300,binary,-1,gbdt,510,20,0.029930466176678383,69,cpu,42,5.0,0.2531949490992511,0.15783235577885762,0.9255152054973391,0.9317898902149832,0.9318121838229848,0.9999093113941878,"[np.float64(0.9136108791519466), np.float64(0.9318995622666151), np.float64(0.9499261100503927)]",0.014825759678032747
300,binary,-1,gbdt,511,20,0.02978848593898771,72,cpu,42,5.0,0.20470007174348476,0.16154071012573398,0.9236543722181285,0.940585140635652,0.9310325878300371,0.999556780337952,"[np.float64(0.9143614492176423), np.float64(0.9303869889538056), np.float64(0.9483493253186633)]",0.013882999889465125
300,binary,-1,gbdt,439,20,0.02581248026056472,64,cpu,42,5.0,0.31872284158116815,0.1357355598205477,0.9361646364808888,0.9430756130187709,0.9310802050731537,0.9998346117914821,"[np.float64(0.9140168041932064), np.float64(0.9306226368713645), np.float64(0.9486011741548903)]",0.014122716639186255
300,binary,-1,gbdt,446,18,0.020657365796422574,52,cpu,42,5.0,0.3849812072844634,0.10296531292598682,0.955885508431334,0.9468257000132065,0.9287123405622717,0.9996701492101369,"[np.float64(0.9126980355737104), np.float64(0.9277780426386166), np.float64(0.9456609434744881)]",0.013473257680219687
300,binary,-1,gbdt,417,10,0.027668818815230457,70,cpu,42,5.0,0.1873031679502632,0.22033000520869234,0.8942593891358473,0.9124500630018451,0.9268992126598317,0.9960090411446408,"[np.float64(0.9090470074162877), np.float64(0.9274064272360446), np.float64(0.9442442033271627)]",0.014373670372521909
300,binary,-1,gbdt,360,18,0.02243927628716547,96,cpu,42,5.0,0.2646478254765271,0.3143405380915334,0.9217141103069327,0.8752147495203544,0.9303927426485501,0.9994906762285599,"[np.float64(0.9147978254552114), np.float64(0.9301089353631373), np.float64(0.9462714671273014)]",0.012850627480327434
300,binary,-1,gbdt,473,18,0.018477149031286114,81,cpu,42,5.0,0.16767296777716764,0.23514081222918964,0.8005779597460277,0.9612336443143411,0.9317863156094992,0.999306445542902,"[np.float64(0.9159616212967967), np.float64(0.9311645455001418), np.float64(0.9482327800315591)]",0.013181979367624712
300,binary,-1,gbdt,396,19,0.01607762233561396,63,cpu,42,5.0,0.018465115616823263,0.09717396868151887,0.956717349693638,0.915632892736638,0.9302146812927253,0.9992172295184168,"[np.float64(0.9147888044325362), np.float64(0.9293077872036944), np.float64(0.9465474522419455)]",0.012981262659106364
300,binary,-1,gbdt,470,17,0.023170303567891518,49,cpu,42,5.0,0.3788766981636972,0.17482825830873885,0.9892088496783739,0.9659009709475248,0.9281475268248651,0.9995097098920199,"[np.float64(0.9124717023106154), np.float64(0.9272012383149433), np.float64(0.9447696398490367)]",0.013202544925555061
300,binary,-1,gbdt,363,20,0.02729575930690376,82,cpu,42,5.0,0.28988026471239836,0.3581470085530697,0.8803028146558471,0.8081130049786858,0.9316860851256763,0.9994461678749746,"[np.float64(0.9166972647168334), np.float64(0.9304352003317977), np.float64(0.9479257903283977)]",0.012779638428471532
