iterations,bootstrap_type,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,loss_function,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,Bernoulli,0.019021923977651015,9,3.9932278065074156,0.7686587806853644,103,PRAUC,CPU,Logloss,42,27.46147358274595,0.5612205679534634,0.7005641873093879,"[np.float64(0.5506679133076008), np.float64(0.553139535901056), np.float64(0.5798542546517335)]",0.01321458637360206
300,Bernoulli,0.03409780634494909,9,9.711362294653474,0.811339675237128,82,PRAUC,CPU,Logloss,42,27.46147358274595,0.5802456758099889,0.7434444333305922,"[np.float64(0.5567148474882125), np.float64(0.5803016776686931), np.float64(0.6037205022730611)]",0.019190019065375662
300,Bernoulli,0.23438779967280865,7,8.579272440411517,0.890190495777986,66,PRAUC,CPU,Logloss,42,27.46147358274595,0.5681342298306234,0.746917358145839,"[np.float64(0.5351111848187236), np.float64(0.5480163469231725), np.float64(0.6212751577499742)]",0.037943857362624185
300,Bernoulli,0.27772036321139254,8,4.4290609978662445,0.7325016459053871,62,PRAUC,CPU,Logloss,42,27.46147358274595,0.55527445346096,0.7159627053576285,"[np.float64(0.5118364861784981), np.float64(0.5358540677946148), np.float64(0.6181328064097673)]",0.04551622756958464
300,Bernoulli,0.01163184722071662,8,5.685546237431886,0.6999607728131615,96,PRAUC,CPU,Logloss,42,27.46147358274595,0.5277310133390039,0.5961924766636926,"[np.float64(0.5217798071205443), np.float64(0.5221428485474062), np.float64(0.539270384349061)]",0.008160913439487676
300,Bernoulli,0.10426725385269446,6,9.299897702233876,0.6745390130926362,80,PRAUC,CPU,Logloss,42,27.46147358274595,0.5831479502328327,0.7436178892669503,"[np.float64(0.5488070391778783), np.float64(0.5875196642084024), np.float64(0.6131171473122176)]",0.02643585209995124
300,Bernoulli,0.014142314968975393,8,3.809605062537957,0.7382833579602759,115,PRAUC,CPU,Logloss,42,27.46147358274595,0.5366663062641387,0.6148690140837207,"[np.float64(0.528416560903059), np.float64(0.527065003813104), np.float64(0.5545173540762531)]",0.012634650968260495
300,Bernoulli,0.06037607837408149,5,3.350267685120893,0.6288114982670964,35,PRAUC,CPU,Logloss,42,27.46147358274595,0.5525487604224261,0.6396865040334946,"[np.float64(0.5419592143968309), np.float64(0.5313764736888384), np.float64(0.5843105931816088)]",0.02287078362438086
300,Bernoulli,0.020827708540777676,8,2.07462098008513,0.7259505863361606,66,PRAUC,CPU,Logloss,42,27.46147358274595,0.5511042870902796,0.6636060801489219,"[np.float64(0.5457587214452116), np.float64(0.5382190030779986), np.float64(0.5693351367476286)]",0.013253546636928747
300,Bernoulli,0.266664227915263,8,8.710460179199682,0.9829140546679045,127,PRAUC,CPU,Logloss,42,27.46147358274595,0.5621000971042692,0.7829324934541543,"[np.float64(0.5039768287251168), np.float64(0.5578641989487011), np.float64(0.6244592636389898)]",0.04927786119264357
