n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.039892978736740914,9,0.6888020827756157,0.5592571875974619,0.013094628568962343,2.571437432759481,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,26083.869310018177,-1,42,0.5159303229270882,0.3286525805095321,"[np.float64(0.5253315270883825), np.float64(0.5122080286176934), np.float64(0.5074825900133353), np.float64(0.5546112651609763), np.float64(0.48001820375505366)]",0.024328986421624677,945.743514383794
500,0.09891756377755943,8,0.8135794636767,0.7374944716086125,0.025366887871003434,0.4874225567360613,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,12390.56771805155,-1,42,0.4887115850131466,0.24264494463028172,"[np.float64(0.4874003831214876), np.float64(0.4984918560225216), np.float64(0.4665135575640836), np.float64(0.5099062294943166), np.float64(0.48124589886332364)]",0.01479915401918445,449.2546301165429
500,0.01369407126573895,15,0.7234669416939745,0.6578107066716126,0.007893553361870146,1.3261565177357264,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,13968.879127767028,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,506.48071730764286
500,0.24531093766209844,9,0.9200942094202975,0.5417167604777977,0.18031112298575472,1.5991383569458717,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,3955.62674537799,-1,42,0.5071120795248184,0.14467531340792078,"[np.float64(0.5218283996740293), np.float64(0.5184416903912707), np.float64(0.4909722075228076), np.float64(0.501619287513494), np.float64(0.5026988125224902)]",0.011446163716058794,143.42229273198666
500,0.024437371169107686,14,0.8770948574976933,0.6875612519939793,0.023985074334189962,4.2220342095758845,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,8213.698737018223,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,297.81058236838453
500,0.05222303278207667,11,0.699405484192744,0.7163344956582279,0.012134646260725569,1.0296766195053986,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,21096.995494935643,-1,42,0.4971084801672297,0.2352106027510362,"[np.float64(0.5072761332246765), np.float64(0.5334384624339856), np.float64(0.5044027686641407), np.float64(0.4718582647164659), np.float64(0.46856677179687994)]",0.024201892165215753,764.930479645376
500,0.028843480614918836,15,0.6038296008385658,0.9210011604215551,0.002032676634868778,3.4938916201443475,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,7424.596950404657,-1,42,0.6693669708688315,0.5066757656971476,"[np.float64(0.47873252405092764), np.float64(0.4832199138505826), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.45486103761403807)]",0.24158453227904444,269.19949372932996
500,0.22510262860101507,13,0.6535137852890938,0.6860572512587145,0.5735107296012149,3.6002128168990106,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,4371.972628086782,-1,42,0.606760231942156,0.2204920278020505,"[np.float64(0.6292611682030332), np.float64(0.6343623990601882), np.float64(0.578413733251487), np.float64(0.6028617996316915), np.float64(0.5889020595643799)]",0.021935395348165368,158.51807524923012
500,0.03913874221795595,14,0.9813991137976984,0.885415669268714,0.004214398024114877,4.874278200887034,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,8799.59487822224,-1,42,0.43174885276666863,0.12819251709608925,"[np.float64(0.42858805973308495), np.float64(0.46089938298390254), np.float64(0.42831742268695894), np.float64(0.4331012001778041), np.float64(0.40783819825159284)]",0.017000393994250098,319.05388293320414
500,0.08012245808753517,13,0.7189535508755039,0.6596884353685938,0.20589272142453038,2.184302071718138,hist,binary:logistic,<function eval_function at 0x000001EA9D9BA020>,16922.277499416705,-1,42,0.4908472625129308,0.19170114773478178,"[np.float64(0.5254056113539429), np.float64(0.5023654047646766), np.float64(0.46220604110661895), np.float64(0.5056198801938911), np.float64(0.4586393751455242)]",0.026087716960337036,613.56442188312
