objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
binary,-1,gbdt,188,20,0.1445388709711648,0.8291628016357199,0.7180360265980277,2,11,6.633396516589033e-08,5.95150094082534e-05,cpu,42,18282.986824660387,0.0009377007108090031,0.0002852262243762413,"[np.float64(0.0010583466508620233), np.float64(0.000994845851810302), np.float64(0.0009101877526829372), np.float64(0.0008043519674872468), np.float64(0.0009207713312025062)]",8.561128908681898e-05
binary,-1,gbdt,90,14,0.018663882637957478,0.655348408683284,0.9573175541604088,2,39,0.002661740293886686,1.3221872096207057e-05,cpu,42,24296.13071731699,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,119,18,0.03222436038058582,0.9830518131967027,0.7828348341986264,6,78,0.0017624160979682966,0.0025711291262388598,cpu,42,21437.831329035573,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,34,10,0.2719766229727174,0.7033085917069484,0.6142750748922123,6,75,0.00021481779251028191,0.0004646757493819472,cpu,42,16196.347086789374,0.0002667048793661336,9.631013468357642e-05,"[np.float64(0.000317503995258607), np.float64(0.00029633706224136655), np.float64(0.00022225514891094977), np.float64(0.0002645894629892259), np.float64(0.0002328387274305188)]",3.629266098902235e-05
binary,-1,gbdt,241,11,0.01482075365399507,0.8198193850154262,0.731497077128557,5,62,3.678137592538471e-08,0.49885438483541333,cpu,42,3759.579500251868,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,137,16,0.054911748232563784,0.9377573437874115,0.8241349718039817,4,90,7.264406520454209,0.08596479544324964,cpu,42,26720.76230834588,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,254,11,0.2202047007537799,0.8371351773146211,0.6926245185898706,1,17,2.9814487702235846e-08,1.8085028817033646e-08,cpu,42,3661.1179488645676,0.0008085817473381434,0.0002667050249735802,"[np.float64(0.0007620095886206568), np.float64(0.0009630954522844412), np.float64(0.0007620176534089706), np.float64(0.0009207713312025062), np.float64(0.0006350147111741422)]",0.00011909969319666425
binary,-1,gbdt,72,16,0.15008813263075255,0.9783228339620662,0.7144823980773237,7,20,0.6910467408997933,0.008846279727013778,cpu,42,13647.910950646226,0.00042545797470273537,0.00012594402992544457,"[np.float64(0.0005291733254310116), np.float64(0.00035983786129308796), np.float64(0.0003175073555870711), np.float64(0.0004656774548610376), np.float64(0.0004550938763414686)]",7.643572813571452e-05
binary,-1,gbdt,62,11,0.2594794529384565,0.6607287792665336,0.9926797374112566,9,64,0.000680547369510639,0.05288028906018278,cpu,42,23758.434886964737,0.00022225414081241055,3.1750581542800447e-06,"[np.float64(0.00023283626318964514), np.float64(0.00024341972969826536), np.float64(0.00015875367779353555), np.float64(0.00030692377706750205), np.float64(0.0001693372563131046)]",5.396557465493292e-05
binary,-1,gbdt,83,15,0.01637616442203788,0.7349583059100722,0.7350863985066098,7,74,0.00021443290737572143,1.1072450858443568e-05,cpu,42,13052.61697349335,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,16,13,0.07012522168858379,0.6040021205070193,0.9778918927304261,10,43,4.9050016712057116e-06,7.261022442332412,cpu,42,9748.18549883238,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,26,10,0.2705773541801528,0.7140400265856165,0.8814295172579207,10,98,3.1782933260313615e-05,0.00047599536056886437,cpu,42,18649.27199960183,0.00012065230227491228,1.5346123046553698e-05,"[np.float64(0.00013758506461206303), np.float64(9.52511985775821e-05), np.float64(5.291789259784518e-05), np.float64(0.00022225514891094977), np.float64(9.525220667612133e-05)]",5.742506084399666e-05
binary,-1,gbdt,47,12,0.10809920198417744,0.7371791465180437,0.8986998610498371,10,99,3.52027759297457e-06,7.105987938685944e-07,cpu,42,20627.14193516881,0.03498916246241654,0.03498916246153473,"[np.float64(0.03498894027749849), np.float64(0.03498894027749849), np.float64(0.03498931058569524), np.float64(0.03498931058569524), np.float64(0.03498931058569524)]",1.8141322591929765e-07
binary,-1,gbdt,56,10,0.2882394239716804,0.6661354557461615,0.8843991851623548,9,53,0.019639615062949197,0.03714935646382642,cpu,42,23108.298011702827,0.0002518880710584448,3.0163072767698614e-05,"[np.float64(0.0003069205287499868), np.float64(0.00021166933017240466), np.float64(0.00021167157039138072), np.float64(0.00030692377706750205), np.float64(0.00022225514891094977)]",4.5101051994046974e-05
