objective,metric,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
binary,average_precision,-1,gbdt,65,20,0.04584633026233921,0.7533213325735357,0.9116002777264711,10,92,2.6500184119431873e-06,0.05944818412627378,cpu,42,27.580278281911674,0.80630840980185,0.9258566861592812,"[np.float64(0.8015196222426231), np.float64(0.8046813462490938), np.float64(0.8040625125824152), np.float64(0.7998992638201694), np.float64(0.821379304114949)]",0.007730884606867061
binary,average_precision,-1,gbdt,88,15,0.018271496469759056,0.753047951515901,0.8272196085691119,5,75,2.864568179280312,2.6834347146002666,cpu,42,27.580278281911674,0.7579074674447019,0.84273777220104,"[np.float64(0.756796396842361), np.float64(0.7568301606403784), np.float64(0.7561892067117062), np.float64(0.7482239480723067), np.float64(0.771497624956757)]",0.007534061539682333
binary,average_precision,-1,gbdt,163,19,0.1351186850307719,0.8366812233376371,0.9901682623921312,5,50,1.837591996177243,3.168833822471728e-08,cpu,42,27.580278281911674,0.884161493937891,1.0,"[np.float64(0.8863179945719313), np.float64(0.8785426736634088), np.float64(0.8794155678886378), np.float64(0.8823031221981494), np.float64(0.8942281113673279)]",0.0057190170889802735
binary,average_precision,-1,gbdt,224,10,0.017376807364824925,0.9087504726180096,0.8405688402814209,3,36,5.062045405742822e-07,8.5375000352764e-06,cpu,42,27.580278281911674,0.8088808934005707,0.9450381312057108,"[np.float64(0.80923139200833), np.float64(0.8043419475681779), np.float64(0.8054355559783635), np.float64(0.8010455512538247), np.float64(0.8243500201941576)]",0.008164333393596086
binary,average_precision,-1,gbdt,205,12,0.03383493230327091,0.6866993943662912,0.9423184893600494,4,91,6.700520820956711e-05,1.6117525681326575e-07,cpu,42,27.580278281911674,0.8532048707305264,0.9895673971460696,"[np.float64(0.8534161250520516), np.float64(0.8500642972971498), np.float64(0.8507822364780138), np.float64(0.845515051357096), np.float64(0.8662466434683207)]",0.006999973496242692
binary,average_precision,-1,gbdt,20,19,0.09876877412142396,0.7671707591642958,0.8669032558927394,5,99,0.7786337330204498,6.451615751779271e-07,cpu,42,27.580278281911674,0.7468917734920069,0.8366454868226297,"[np.float64(0.740855301343946), np.float64(0.7466184507613096), np.float64(0.7493723265911101), np.float64(0.7389903322049901), np.float64(0.7586224565586784)]",0.006967188021142673
binary,average_precision,-1,gbdt,19,17,0.01608405065297744,0.7553906686224011,0.8225639810886677,5,11,8.745403306020665e-06,0.006444754342820289,cpu,42,27.580278281911674,0.6129479506434066,0.6321111584969862,"[np.float64(0.6106335268535854), np.float64(0.6085294655319233), np.float64(0.6155124954685255), np.float64(0.6046201707237132), np.float64(0.6254440946392854)]",0.007168849161140442
binary,average_precision,-1,gbdt,121,19,0.015906402147722272,0.7225527183270823,0.8889996599245615,10,23,0.002022671417137986,7.939137958408726e-06,cpu,42,27.580278281911674,0.7846648016447448,0.8833324425090829,"[np.float64(0.7843441873148334), np.float64(0.7822223572231874), np.float64(0.7832193965188964), np.float64(0.7745107750189292), np.float64(0.7990272921478774)]",0.007969227245462588
binary,average_precision,-1,gbdt,85,13,0.15653688928959736,0.9016066547019267,0.6779356329616482,3,63,5.174593792186778e-06,0.0015393076206350483,cpu,42,27.580278281911674,0.8553129999831907,0.9999802892903176,"[np.float64(0.8554409703305765), np.float64(0.8478394564267205), np.float64(0.8524922977522128), np.float64(0.8507522718214258), np.float64(0.8700400035850179)]",0.007765455134502506
binary,average_precision,-1,gbdt,158,14,0.039359940726430676,0.6535146074446906,0.910124467351741,7,93,7.598436158343408e-05,4.949161870162308e-08,cpu,42,27.580278281911674,0.8540828897580026,0.9883262451916656,"[np.float64(0.8516810308909881), np.float64(0.8513720902285155), np.float64(0.8520049316937538), np.float64(0.848119380209855), np.float64(0.8672370157669012)]",0.00672353697114442
