objective,metric,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,score,trial_number
binary,average_precision,-1,gbdt,24,3,0.03308048308635469,0.6319968442348225,0.9031322239179425,9,28,1.7477908513578027,0.00035961034774805253,cpu,0.5532023243506085,0
binary,average_precision,-1,gbdt,101,5,0.031789405264378366,0.7501535063850535,0.6238865160632076,8,86,6.4388330806715055e-06,6.164435567820589,cpu,0.6509732621881972,1
binary,average_precision,-1,gbdt,108,4,0.14074737531432638,0.7127966840725275,0.7360489422085887,3,48,9.805213018466216e-06,0.011322770577414458,cpu,0.7345954792176245,2
binary,average_precision,-1,gbdt,234,9,0.029504321948047724,0.7060061966128413,0.7659729626375584,6,50,0.08509571819137292,4.5545353483473505e-06,cpu,0.8516861120034802,3
binary,average_precision,-1,gbdt,256,9,0.13535325750936228,0.7140421411560185,0.8258129806010659,4,58,0.20546858734563395,0.0013425910998389784,cpu,0.8892865606997447,4
binary,average_precision,-1,gbdt,125,3,0.20784083959745167,0.854892333392989,0.8532170061904684,4,23,1.283208222050543e-07,1.635649057494624e-07,cpu,0.6928481638207304,5
binary,average_precision,-1,gbdt,126,6,0.01008039003595688,0.9770317338214058,0.742809791916974,8,88,0.0001308524320395931,1.2249874457704378e-08,cpu,0.6344413371909667,6
binary,average_precision,-1,gbdt,93,10,0.2584476712134954,0.8398839179923132,0.9906115354416469,3,76,0.20198056930230662,1.3893490124613576e-06,cpu,0.8840758691819145,7
binary,average_precision,-1,gbdt,216,11,0.026190845050862693,0.6171460315683247,0.9381401359939231,9,100,7.070162793109084e-07,3.951490617612704e-07,cpu,0.8575033025615433,8
binary,average_precision,-1,gbdt,60,10,0.05751430878393222,0.7244632573181319,0.7324225464549428,1,22,0.783415002097961,1.3559401453825415,cpu,0.8306696370722902,9
binary,average_precision,-1,gbdt,185,7,0.1012048246901496,0.9467196754420585,0.6055060909190777,6,63,0.006284749891362356,0.009216315797336483,cpu,0.845197511732914,10
binary,average_precision,-1,gbdt,163,12,0.2643650751874612,0.8415856773330558,0.9929428555095399,3,67,0.007418214233810928,5.737216703077137e-05,cpu,0.8937902904501227,11
binary,average_precision,-1,gbdt,194,12,0.2984251120179266,0.8898098557657778,0.8378930299285369,1,65,0.0020284435064191093,6.589429409967173e-05,cpu,0.8934811947807544,12
binary,average_precision,-1,gbdt,171,12,0.27475467490956923,0.8971554780974114,0.9979974508561023,1,68,0.0018948729660897732,4.560111532314831e-05,cpu,0.8968849243406061,13
binary,average_precision,-1,gbdt,161,12,0.07966139337100558,0.9136252410476116,0.9907429085378844,2,41,0.0003220654859098673,4.607192021558373e-05,cpu,0.8940382586007759,14
binary,average_precision,-1,gbdt,157,12,0.06514614095510328,0.9193091413227763,0.9284489667306297,1,39,0.00021073321436941553,1.3224308937225027e-05,cpu,0.890191165871216,15
binary,average_precision,-1,gbdt,158,8,0.09135475003943264,0.9981924770232683,0.8895567063836873,2,39,1.7945719313146063e-05,0.08295166959677676,cpu,0.8816709106646519,16
binary,average_precision,-1,gbdt,208,11,0.018123374132516995,0.7932188483218096,0.9598287071912207,5,10,0.0020306263154449174,0.0019927400366258684,cpu,0.8528545041777983,17
binary,average_precision,-1,gbdt,175,10,0.14780636619017146,0.8995787677107168,0.6717943097042754,2,74,1.1533256134592263e-08,3.9863593621081484e-05,cpu,0.8861960015944296,18
binary,average_precision,-1,gbdt,142,11,0.08209931140699432,0.9337966504022257,0.8895707423650984,2,40,0.027653046066042953,4.372764339729258e-08,cpu,0.8916074457510526,19
binary,average_precision,-1,gbdt,62,8,0.041195208284535226,0.7978671171148757,0.9985155186961271,5,54,0.00048649227651800304,1.5077531116721838e-06,cpu,0.8035196942462177,20
binary,average_precision,-1,gbdt,157,12,0.19581102116508697,0.8806953204610893,0.9684408220146291,3,71,0.01219886472894955,9.306573133693404e-05,cpu,0.8939792357105583,21
binary,average_precision,-1,gbdt,143,12,0.17975829638607768,0.8723774680590543,0.9551517365790908,2,78,9.13819763469397,0.0003867313630618804,cpu,0.8699604746272288,22
binary,average_precision,-1,gbdt,199,11,0.18711375165292013,0.9691625324934475,0.9569184286830407,4,86,0.00011714622519090263,0.00010993096545433482,cpu,0.898870191716209,23
binary,average_precision,-1,gbdt,208,11,0.11704846372608099,0.9616455678594871,0.9145505116409249,4,97,4.7440421431583234e-05,6.840606062599941e-06,cpu,0.897321658193484,24
binary,average_precision,-1,gbdt,233,9,0.11508581155488469,0.9609672251604238,0.9233048979637516,4,94,3.902683394931539e-05,8.049092432648873e-06,cpu,0.8914366142939397,25
binary,average_precision,-1,gbdt,203,11,0.21000338872545024,0.9910965223249719,0.8756390039029537,7,83,1.9417238227408737e-06,2.645289996145877e-06,cpu,0.8961225298466946,26
binary,average_precision,-1,gbdt,224,10,0.16439615414533762,0.9573652332519701,0.8003964733594302,5,99,6.664200670247263e-05,0.002226269354329337,cpu,0.8911825840001879,27
binary,average_precision,-1,gbdt,187,11,0.12368410938840871,0.9323945998898209,0.9230364033996789,10,91,0.0022368061721744254,3.5968149840183903e-07,cpu,0.8962888730213641,28
binary,average_precision,-1,gbdt,247,7,0.23350479435193652,0.658659902193188,0.9065832133375918,4,81,6.945503584242183e-07,0.0003457288383011824,cpu,0.8738933951970757,29
