objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
binary,-1,gbdt,52,14,0.08235797375414221,0.9266376830037859,0.6724790151241865,1,81,4.690544517200008e-06,1.1199323739217213e-07,cpu,42,18003.760104352907,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,116,13,0.11346012210151146,0.848333593621816,0.8640545421135861,1,87,4.405762681079638e-06,0.00017469419808533617,cpu,42,10924.78984405824,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,194,12,0.2269480414528023,0.7090154065921741,0.6894215002911552,9,26,0.013056515678532539,0.021904875531245146,cpu,42,6876.567961396217,0.6585010893628187,0.3666146305965986,"[np.float64(0.672992051816652), np.float64(0.6573602717834199), np.float64(0.6543509091293949), np.float64(0.6891391317232183), np.float64(0.618663082361408)]",0.023470278630982895
binary,-1,gbdt,52,20,0.08044005575492118,0.6042525624385813,0.6964648909282554,5,63,0.06652771399511576,3.465504505378472e-08,cpu,42,21338.3606989711,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,25,15,0.2689313154784632,0.733637519752972,0.7588423427487823,5,13,0.0004571371248921573,0.0031086599472488156,cpu,42,23125.253236934233,0.9218998631298116,0.9137045119145426,"[np.float64(0.9218410998338396), np.float64(0.9258204832410808), np.float64(0.9143365154626082), np.float64(0.9337150477319391), np.float64(0.9137861693795907)]",0.00745666891542811
binary,-1,gbdt,60,12,0.032751380275021585,0.6418236730757502,0.6115708126372895,6,90,0.0011775571952488738,1.1960328313959984e-08,cpu,42,18234.378431405104,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,234,16,0.04103076055632317,0.8533319509215964,0.9048889579914107,2,18,0.10110177886138699,1.9039159653089854,cpu,42,7003.249303161765,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,198,11,0.1484963209653258,0.9936274312401125,0.9957928538629773,7,89,0.1087809606792978,5.971695654670078e-08,cpu,42,22804.24987708723,0.8271476049576647,0.7968189099561591,"[np.float64(0.8465926529575497), np.float64(0.8103971974980685), np.float64(0.8281756027347967), np.float64(0.8260059691382851), np.float64(0.8245666024596237)]",0.011556017717614503
binary,-1,gbdt,122,12,0.01649988747509573,0.6826789024098123,0.8635980161857699,6,100,2.289651438373597e-06,0.000262676498902877,cpu,42,10243.93197975005,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,17,20,0.06193910419831086,0.7324007015030629,0.7775439925831512,7,70,0.09919809883936455,2.588304584499189,cpu,42,18999.227103515263,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05
binary,-1,gbdt,172,10,0.2871991721804307,0.754075949221052,0.6004612886769918,10,37,7.127964074007389,0.01967984705430449,cpu,42,3146.711495685634,0.7597601561167922,0.5718732838944833,"[np.float64(0.7574586980219501), np.float64(0.7519870458369935), np.float64(0.772961073598205), np.float64(0.7831424761340304), np.float64(0.733251486992782)]",0.01725934299589697
binary,-1,gbdt,178,10,0.26922434507343707,0.7705622983988898,0.6171195524612242,10,36,8.39172948320357,0.018317491628992523,cpu,42,2920.7159965615547,0.7715396148267988,0.5677690114311961,"[np.float64(0.7730904780551822), np.float64(0.7666768973509583), np.float64(0.7657536566263785), np.float64(0.7622187414008424), np.float64(0.7899583007006329)]",0.009855507912245633
