objective,metric,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,score,trial_number
binary,average_precision,-1,gbdt,34,9,0.06763475912293605,0.863676183752364,0.7433570576160953,6,69,1.2202721804889966e-06,5.89491053980921e-07,cpu,0.8261350887455826,0
binary,average_precision,-1,gbdt,27,5,0.03228300849275206,0.7437364297345307,0.7012999231559003,6,75,0.0001943615592959871,7.846791216087437e-06,cpu,0.7029061279036002,1
binary,average_precision,-1,gbdt,51,9,0.021682520133981538,0.7179710628699789,0.835330855915021,10,70,0.007440977551108969,3.2209428515754096e-07,cpu,0.7707657172344275,2
binary,average_precision,-1,gbdt,84,10,0.06332643595191262,0.9775991267957168,0.6445275233451689,7,28,9.415159029953098e-08,7.0053792352130015,cpu,0.8593428730024338,3
binary,average_precision,-1,gbdt,97,10,0.03449214116722208,0.7418474444472626,0.9733164764665456,10,19,0.00871570792954808,2.189094355234002e-08,cpu,0.8591771061175811,4
binary,average_precision,-1,gbdt,160,5,0.011582246692856927,0.8961147766544298,0.8374068065957726,7,91,4.783362415435416e-08,3.4591356027303297e-07,cpu,0.626525608222418,5
binary,average_precision,-1,gbdt,205,5,0.04426797388873496,0.6755819773267073,0.6897681942714835,1,54,0.0015922985953996406,0.006136837717973697,cpu,0.7376002314073243,6
binary,average_precision,-1,gbdt,180,12,0.039582043129129746,0.9040254632773208,0.7984942796273131,3,16,3.0962561950903836e-07,0.004820301520089475,cpu,0.8897797271607457,7
binary,average_precision,-1,gbdt,176,6,0.052730525138920556,0.8579144749874736,0.9189851701553007,10,14,0.00014863705819643096,0.011194586418021474,cpu,0.8121462980566762,8
binary,average_precision,-1,gbdt,27,8,0.03439360791423394,0.7028479751239216,0.7192517279074746,7,57,0.05788160602209733,0.010173418568636168,cpu,0.7533525253398827,9
binary,average_precision,-1,gbdt,255,12,0.18118223091972513,0.6131527098665247,0.8965683206396239,2,37,2.972774245662566,3.8515515440183647,cpu,0.8933565765249619,10
binary,average_precision,-1,gbdt,249,12,0.20362260792314832,0.6131077547630845,0.9136353562005293,2,36,3.9796025898755567,3.402661924739983,cpu,0.8889477525000058,11
binary,average_precision,-1,gbdt,255,12,0.19071338037683205,0.9947698986478224,0.8060497762315638,3,38,4.733107783277335e-06,0.2662623298797024,cpu,0.9030284132399276,12
binary,average_precision,-1,gbdt,252,3,0.29749446924211687,0.9882843034439969,0.8853862822864487,4,42,1.0263330724029783e-05,0.27957942351799026,cpu,0.759175252861422,13
binary,average_precision,-1,gbdt,220,11,0.12778483509955235,0.804047731803431,0.9749718365663974,4,43,0.588713740692634,0.3440511748321652,cpu,0.9055598753465537,14
binary,average_precision,-1,gbdt,218,11,0.11766558379263385,0.8033357316527935,0.9734008951376514,4,53,1.0861675093209679e-05,0.00018937963500757597,cpu,0.9094185850488716,15
binary,average_precision,-1,gbdt,215,10,0.10611123385298837,0.7922593600268988,0.9971285841653081,4,53,0.2521188076955232,0.00024303609827798427,cpu,0.9071534516185007,16
binary,average_precision,-1,gbdt,120,7,0.0991569123341775,0.8023360134817945,0.9714481289109743,5,55,3.5148730034281544e-05,0.00013157162415819562,cpu,0.8758007736143184,17
binary,average_precision,-1,gbdt,213,10,0.09857292328135873,0.7796740121810698,0.9994626583879,4,85,0.06782173291493614,0.0004105022189070144,cpu,0.9049905292747067,18
binary,average_precision,-1,gbdt,165,8,0.09446115246683479,0.834007291146934,0.9381179902447561,5,64,1.1456165924889926e-08,7.94966886393981e-05,cpu,0.8913166155178482,19
binary,average_precision,-1,gbdt,196,11,0.14712538685365537,0.9396278165337114,0.8700225736240104,1,49,0.001600345592154161,7.675741876897646e-06,cpu,0.9097932116402762,20
binary,average_precision,-1,gbdt,198,11,0.13465848142332798,0.9450043079512374,0.8751628337827931,1,49,0.0012574459437883346,1.5206654894201322e-05,cpu,0.9074031133318959,21
binary,average_precision,-1,gbdt,197,11,0.1520635794689741,0.9389141002173185,0.8712757188887706,1,48,0.0008904240781296135,1.2015390980221071e-05,cpu,0.9088289760119255,22
binary,average_precision,-1,gbdt,138,11,0.15025937319279317,0.932799069730395,0.8537422637460834,2,27,2.6402626656677737e-05,5.56549075595974e-06,cpu,0.9035576078873189,23
binary,average_precision,-1,gbdt,227,9,0.2725727444268505,0.9225814757504941,0.7814585488318813,1,63,0.0010436855650745836,2.921818017278586e-05,cpu,0.8962090315749462,24
binary,average_precision,-1,gbdt,191,11,0.07680859866988372,0.8773874003810771,0.9489423960145218,3,47,9.824946698703545e-05,0.0010055844091360103,cpu,0.905909130745976,25
binary,average_precision,-1,gbdt,145,11,0.2279812285979809,0.947740303170031,0.8597645882887505,2,29,0.008956343907639499,1.4536737683237062e-06,cpu,0.8448035637983184,26
binary,average_precision,-1,gbdt,235,9,0.1637973973241722,0.6577158403742891,0.6063294995405162,1,83,1.6414175879036266e-06,2.0415406082872825e-08,cpu,0.8868912972506945,27
binary,average_precision,-1,gbdt,188,7,0.12612769100222834,0.8337563881338625,0.7670367303381531,8,100,0.0004879848477509425,3.234308716257079e-06,cpu,0.8728331158738691,28
binary,average_precision,-1,gbdt,116,10,0.06659245607009347,0.9636598429711469,0.9359896997130785,3,61,1.312573277063799e-06,2.8566013141642157e-05,cpu,0.8928059383421366,29
