iterations,learning_rate,depth,l2_leaf_reg,subsample,border_count,eval_metric,task_type,verbose,scale_pos_weight,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.11272310450797092,12,6.027975534493138,0.9811716259361047,142,Recall,CPU,False,10725.890149173072,42,0.9649854369491365,0.9649790869709239,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9649789386787461), np.float64(0.9649577715217069), np.float64(0.9649683551002265)]",2.196563673080111e-05,388.8970966695274
500,0.03644383711184793,14,1.7301445860267295,0.9774879692171097,59,Recall,CPU,False,18583.27879548484,42,0.9649833204798567,0.9649880829048547,"[np.float64(0.9648946415909067), np.float64(0.9650110597225016), np.float64(0.9649895222572656), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",4.5099867220653426e-05,673.7886617943426
500,0.041445090847735386,10,8.36055212689211,0.5436720441452916,66,Recall,CPU,False,23653.018732052544,42,0.9648986523669505,0.9650113665409737,"[np.float64(0.9648099738588377), np.float64(0.9648523077248722), np.float64(0.9650106894143048), np.float64(0.9648836864720699), np.float64(0.9649366043646678)]",6.961082641465148e-05,857.6062391497045
500,0.010486266492218912,15,3.1914429684313,0.9863396011510979,66,Recall,CPU,False,17961.999593382166,42,0.9649007690602522,0.9650320044644811,"[np.float64(0.9648523077248722), np.float64(0.9648205573253463), np.float64(0.9650106894143048), np.float64(0.9648836864720699), np.float64(0.9649366043646678)]",6.699386768956352e-05,651.2624495584736
500,0.04821855574211386,13,3.2061174383874174,0.6423703526553284,166,Recall,CPU,False,11478.443911158462,42,0.96500660415098,0.9650050165856812,"[np.float64(0.9650110597225016), np.float64(0.9649898927894842), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",8.356911509943753e-06,416.1830346246548
500,0.019797804353353928,12,9.962647445167734,0.821135408313437,229,Recall,CPU,False,9488.518322383603,42,0.9648626674383095,0.9648679599845289,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9647990178439134), np.float64(0.9647037656372373), np.float64(0.9647884342653938)]",0.00012558037842544552,344.03272604419584
500,0.07618185075956765,16,4.9663690826486775,0.8970948526484369,98,Recall,CPU,False,12116.852529458542,42,0.9649939038343543,0.9649960206027455,"[np.float64(0.9650110597225016), np.float64(0.9650004762559928), np.float64(0.9649895222572656), np.float64(0.9649789386787461), np.float64(0.9649895222572656)]",1.095329669334658e-05,439.3303216742846
500,0.015980987089845078,12,8.027807659821166,0.9800341619574309,255,Recall,CPU,False,9318.559570421325,42,0.9647843489796669,0.9647848793313955,"[np.float64(0.9650110597225016), np.float64(0.9650004762559928), np.float64(0.9646508477446394), np.float64(0.9646085134305611), np.float64(0.9646508477446394)]",0.00018147840660849885,337.87039692535785
500,0.015027531900738016,11,4.800731001511686,0.9100487175150316,54,Recall,CPU,False,6642.755408174261,42,0.9649960206844714,0.9649886120823805,"[np.float64(0.9649369754569411), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",2.952296212695952e-05,240.85164552276703
500,0.06010873481571899,15,2.5129632348375406,0.9834406800416294,54,Recall,CPU,False,18004.36645336771,42,0.9648415006621075,0.9648399135266551,"[np.float64(0.9649369754569411), np.float64(0.9649052250574153), np.float64(0.964343923967572), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.00025219376268691954,652.7985783658951
