objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std,weight_factor
binary,-1,gbdt,97,14,0.03865644334600358,0.7642717530639782,0.6795592542324783,9,88,2.366646229951323e-06,0.03030048258287609,cpu,42,16026.270674212548,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,581.0771925649228
binary,-1,gbdt,220,14,0.01466789127243322,0.9269158487826148,0.6750802993313221,9,35,0.0019130151499420374,0.005483784582143006,cpu,42,26120.019822487884,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,947.0542521544646
binary,-1,gbdt,189,15,0.01576994151334438,0.9422058814606936,0.8315358465759255,4,88,3.179660707090882e-06,3.141278990290958e-06,cpu,42,4334.898197308697,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,157.17383824048318
binary,-1,gbdt,58,20,0.010090918301671283,0.8577222230259249,0.9727176113859868,9,77,1.1821227251012727e-07,2.2360266314497578e-08,cpu,42,20087.346632898276,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,728.3228409654016
binary,-1,gbdt,251,18,0.09033629907747298,0.7750897116252887,0.9778046603415296,4,79,1.3147672309745188e-05,2.2001337854475635e-08,cpu,42,13415.375892238331,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,486.41191198700517
binary,-1,gbdt,155,13,0.25543980903596697,0.9656251915573574,0.9498983898876024,9,15,1.0023337936933717e-07,1.5193788838670576e-06,cpu,42,18681.28176315617,0.6280099595547707,0.37035595140920463,"[np.float64(0.6199159672759216), np.float64(0.6348915723856192), np.float64(0.616355862244142), np.float64(0.6563617890481129), np.float64(0.612524606820058)]",0.016076751383456767,677.342033035546
binary,-1,gbdt,170,10,0.24200819810958096,0.8922667550399834,0.8016147469199429,6,36,1.188432223181679e-05,0.4961851438836038,cpu,42,4952.306470727383,0.5763453030481658,0.2321402966619522,"[np.float64(0.6089409125064824), np.float64(0.5795400425455354), np.float64(0.5826683318163537), np.float64(0.558569523527295), np.float64(0.5520077048451623)]",0.02010451607517044,179.55969914833375
binary,-1,gbdt,217,16,0.15968968645733886,0.7939577752672213,0.8841315576416768,8,22,0.12990168659951376,0.020032467539708405,cpu,42,20573.55242006091,0.7833275016214307,0.7311814295222021,"[np.float64(0.8020680093557844), np.float64(0.7863409781239747), np.float64(0.7851216053171899), np.float64(0.7803166606693055), np.float64(0.7627902546408992)]",0.012604365558188441,745.9515893845758
binary,-1,gbdt,120,18,0.049992926315277485,0.9350837489171093,0.6905193428010231,10,80,2.9532478536782953e-07,0.026414700124652777,cpu,42,11774.598634584316,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,426.92095105895294
binary,-1,gbdt,246,17,0.03714774670651995,0.8131628312799684,0.8627610132683281,8,18,1.2590693223143492e-06,3.622789804710053,cpu,42,25670.641998202904,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,930.7608043621086
binary,-1,gbdt,162,11,0.2704621741543314,0.6744675779716132,0.7647719348783193,1,52,0.0006764391550588624,5.136145827960648,cpu,42,2982.9998590076816,0.5097283495885799,0.14247077769830435,"[np.float64(0.513086456337909), np.float64(0.5227174108607533), np.float64(0.5127532121160807), np.float64(0.5129119657938742), np.float64(0.4871727028342823)]",0.011899873945800518,108.15698915424144
binary,-1,gbdt,170,10,0.2938312008184375,0.6310021768569142,0.7590167436410041,1,49,0.000504467377264896,6.093472255904434,cpu,42,4161.890987976869,0.5310965172200242,0.1971617210734677,"[np.float64(0.5134145437996761), np.float64(0.558955200186269), np.float64(0.5569819867493597), np.float64(0.5376352052155875), np.float64(0.48849565014922847)]",0.026893881271741808,150.9009787876729
binary,-1,gbdt,130,10,0.09932287199547088,0.6276438562990829,0.748364129294077,1,58,0.001969251613198594,6.89925333367299,cpu,42,7969.3842848635395,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,288.95227971975186
binary,-1,gbdt,17,12,0.2970770038165,0.6074118899842935,0.7508149375686746,1,52,2.9374847323352102,0.0005232430572144461,cpu,42,8703.166740482171,0.7354729386015808,0.6380490197650316,"[np.float64(0.764623704848286), np.float64(0.7549927503254416), np.float64(0.7391782909637407), np.float64(0.6922295366509325), np.float64(0.7263404102195035)]",0.025289977246124872,315.55761154846937
binary,-1,gbdt,188,11,0.14683982172043156,0.6852161419766618,0.7463082641431878,3,60,0.00023931644148715168,0.6952226021780494,cpu,42,2854.4862760170895,0.8100382826069936,0.7743971508023839,"[np.float64(0.7932837321536296), np.float64(0.8208642458750939), np.float64(0.8188197193234976), np.float64(0.7977795652265944), np.float64(0.8194441504561523)]",0.011948025562333547,103.49737036153053
binary,-1,gbdt,94,12,0.15829259673883878,0.6936093310268022,0.6058442703702667,2,44,0.026479633577177468,0.37169606560935126,cpu,42,8257.439543807168,0.8209964622325276,0.7994198110073647,"[np.float64(0.8255315546053954), np.float64(0.8158159323504821), np.float64(0.8133162584933218), np.float64(0.8239739220625277), np.float64(0.8263446436509112)]",0.005363931276370513,299.3965274535591
binary,-1,gbdt,155,10,0.09832922492741801,0.6854746929901276,0.9074393585825858,6,65,0.00019094063738283448,9.740016404625468e-05,cpu,42,6749.513589909156,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,244.7224614965461
