n_estimators,objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std
300,binary,-1,gbdt,124,20,0.02780375789890577,0.8255382057070696,0.6203424556093118,8,99,0.046665308068467116,2.4851643228816584,cpu,42,27.580278281911674,0.47039061714047753,0.49319300096934776,"[np.float64(0.47450199739732185), np.float64(0.46136590910918984), np.float64(0.47530394491492095)]",0.006389825049391021
300,binary,-1,gbdt,250,16,0.03548965822700832,0.6599747322560763,0.7720673410479796,7,81,7.959187596298654e-08,0.0026638657019789434,cpu,42,27.580278281911674,0.5272288224681297,0.5805006871807069,"[np.float64(0.5349288772265671), np.float64(0.5418185443058547), np.float64(0.5049390458719675)]",0.016010256788404398
300,binary,-1,gbdt,244,15,0.14630629849146756,0.8463813241793541,0.813170833832712,9,34,0.04030144320900276,5.4585172613533764e-05,cpu,42,27.580278281911674,0.8735869970739104,0.9999999972554184,"[np.float64(0.8713819344122443), np.float64(0.8718714204305551), np.float64(0.8775076363789319)]",0.002779503380173023
300,binary,-1,gbdt,238,12,0.014858771554232621,0.9319842178104708,0.7364718191365794,7,66,0.00043807243974150717,0.09345863230275826,cpu,42,27.580278281911674,0.6081194288653221,0.6640152587737597,"[np.float64(0.6032805779656233), np.float64(0.6173909629068803), np.float64(0.6036867457234628)]",0.006558061231528027
300,binary,-1,gbdt,226,19,0.03473203888678714,0.9805193999918599,0.6334671923942514,7,27,0.40136091342226526,0.00839063337526081,cpu,42,27.580278281911674,0.533028458019669,0.5802954673534263,"[np.float64(0.5169133354250672), np.float64(0.5385135642819385), np.float64(0.5436584743520014)]",0.011587073461018057
300,binary,-1,gbdt,138,18,0.12495636984247471,0.715517749315959,0.6359908882080391,10,20,5.619215640457347e-08,0.0002375068039486894,cpu,42,27.580278281911674,0.48651126339883916,0.5422732055030642,"[np.float64(0.29133147147172056), np.float64(0.8635145778148632), np.float64(0.30468774090993384)]",0.26663735896510216
300,binary,-1,gbdt,80,13,0.026246879541692105,0.9051223831703374,0.8885791873600246,9,60,2.187560736808728e-07,2.3457416242541436e-07,cpu,42,27.580278281911674,0.4472066032760107,0.4635505829645116,"[np.float64(0.44043364127508294), np.float64(0.4575133240871688), np.float64(0.4436728444657803)]",0.007406955278071466
300,binary,-1,gbdt,233,13,0.019271592067412486,0.8690017537199464,0.9754673588556125,6,14,0.5318446754404491,0.014335117891899906,cpu,42,27.580278281911674,0.5959973415977851,0.6515896301274259,"[np.float64(0.5936741569946429), np.float64(0.5946328771337441), np.float64(0.5996849906649682)]",0.002636772371454909
300,binary,-1,gbdt,172,16,0.23856436518326551,0.78008535647339,0.9264895371824796,1,74,0.6504893197167947,0.2071138253483097,cpu,42,27.580278281911674,0.868815101443381,1.0,"[np.float64(0.8647238773521709), np.float64(0.8676145329278514), np.float64(0.8741068940501209)]",0.003923542120657701
300,binary,-1,gbdt,109,12,0.09968171866062209,0.834260229100413,0.801879074515302,3,40,0.12754523567633158,2.230774977958171,cpu,42,27.580278281911674,0.2921699604681122,0.300354350161513,"[np.float64(0.27976212753296253), np.float64(0.3009818881382842), np.float64(0.29576586573308994)]",0.009028379738092954
