objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std,weight_factor
binary,-1,gbdt,166,20,0.18528910883777497,0.9538139183876564,0.7829489483618187,5,65,3.14241707785604e-05,0.011144987897729686,cpu,42,27261.56447289598,0.6125331219595925,0.39975199812409556,"[np.float64(0.5094034099929091), np.float64(0.46778921968101433), np.float64(0.49314184111931925), np.float64(0.80009736892238), np.float64(0.7922337700823402)]",0.1505413447211734,988.4441409271524
binary,-1,gbdt,115,19,0.03601466570668402,0.9765467245612626,0.6274827760378981,8,58,1.4364084634718396e-07,0.10126313290615058,cpu,42,21070.907747631478,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,763.9845955234861
binary,-1,gbdt,214,12,0.17338817453587843,0.6721244945467528,0.7922540840976626,10,31,0.02362537778076559,1.9996148868640945e-05,cpu,42,22928.796197169606,0.8158042208441103,0.778736920096954,"[np.float64(0.8124821404002667), np.float64(0.7994644765946638), np.float64(0.8241644264758801), np.float64(0.8392566094447854), np.float64(0.8036534513049552)]",0.014460789952757751,831.3475289408988
binary,-1,gbdt,93,11,0.024225077843350932,0.8480413471710002,0.6729097310646001,8,56,9.228711237236389e-05,3.493761763100192e-05,cpu,42,15487.498110982699,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,561.5424889001233
binary,-1,gbdt,194,10,0.05272647614960036,0.6405482472216519,0.9410113581725714,6,48,5.701744125219492e-06,0.0006262440332243636,cpu,42,22361.510491868812,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,810.7790016946437
binary,-1,gbdt,142,14,0.12839402815598588,0.9473781906365538,0.6640659123950383,8,51,4.738318136499993e-05,1.5852280518804257e-05,cpu,42,13210.020904469566,0.7697826999309564,0.728021714248243,"[np.float64(0.7811974134007853), np.float64(0.7778742049170786), np.float64(0.7397921385178756), np.float64(0.772643566242618), np.float64(0.777406176576424)]",0.015241416355625833,478.96619350404677
binary,-1,gbdt,171,19,0.020802030206253225,0.8936152021446413,0.9875105366116808,8,73,0.0640352697712144,1.8294278662653431,cpu,42,19163.910354752636,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,694.841080241063
binary,-1,gbdt,59,15,0.19408802379383597,0.9059400567917217,0.8811090176229024,5,55,0.0017359340503738593,6.469999203845589e-08,cpu,42,22606.836851132797,0.8536635832217259,0.8350334067437603,"[np.float64(0.8707335400637125), np.float64(0.8426450199498343), np.float64(0.8601380098638952), np.float64(0.8466333636729251), np.float64(0.8481679825582626)]",0.010337659087679323,819.6739938610166
binary,-1,gbdt,176,18,0.26756477262842676,0.8627734283281675,0.8564738538038592,8,10,4.92550224192727e-07,2.1111696619532622e-05,cpu,42,12348.055247047778,0.6426998640947188,0.38755522952414423,"[np.float64(0.6416226570851017), np.float64(0.6615830749203594), np.float64(0.6448997735114197), np.float64(0.6385919607137566), np.float64(0.6268018542429566)]",0.011244529469060899,447.713221775074
binary,-1,gbdt,24,13,0.020626363786717054,0.7135091120968364,0.798045396458251,9,26,1.3445575834807613,0.01129736147498484,cpu,42,19610.352199804314,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,711.0280759083429
binary,-1,gbdt,253,17,0.09303621587297582,0.7715309953716354,0.736024539036226,1,94,0.001720326083889401,1.4365428900527528e-07,cpu,42,3416.2560476321046,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,123.86590203017028
binary,-1,gbdt,158,20,0.29925275741025176,0.8172576255822322,0.8734696178625095,5,82,1.3180018630270028e-08,0.002591305994630173,cpu,42,9409.147660458428,0.6080790156533198,0.38139668924331654,"[np.float64(0.6252394509297575), np.float64(0.6053954512260946), np.float64(0.6293948309802511), np.float64(0.6161230235167114), np.float64(0.5642423216137841)]",0.02341968337440064,341.1549210737786
