objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std,weight_factor
binary,-1,gbdt,69,15,0.15415735106268225,0.7134198793587765,0.6012476528141174,5,48,5.958943298798557,0.00019489062151928179,cpu,42,13266.20980201799,0.8233375419378877,0.8005199680018567,"[np.float64(0.8285478425603522), np.float64(0.816514441140051), np.float64(0.8090828270854942), np.float64(0.8264822301716657), np.float64(0.8360603687318756)]",0.009472678800787247,481.0034788778232
binary,-1,gbdt,84,15,0.03874218973064154,0.662585883340395,0.6892176948186306,9,85,4.278063509094916e-05,0.0007758493341683748,cpu,42,20898.05312473845,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,757.7172685180732
binary,-1,gbdt,89,18,0.24895795616265035,0.9369020916988371,0.8928930717419563,7,30,0.5580472857534513,0.6955743530098828,cpu,42,11538.003472926981,0.5567552207179208,0.22525095297842507,"[np.float64(0.5504672600463556), np.float64(0.580608972662906), np.float64(0.5644963274982537), np.float64(0.5275384713079186), np.float64(0.5606650720741697)]",0.01753493683569676,418.3425328414506
binary,-1,gbdt,179,14,0.05016801257147856,0.6233176426523309,0.7876802762039314,5,24,0.9820864425450418,1.897483931475265e-08,cpu,42,26695.390776624485,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,967.915932673256
binary,-1,gbdt,256,15,0.019434544688185663,0.6502848525836129,0.6401883902620695,2,34,7.566381067931936e-08,0.0015609879241719582,cpu,42,15957.453156756159,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,578.5820213141844
binary,-1,gbdt,147,12,0.08622986091719619,0.6382622551933715,0.8237345174855237,7,95,1.3178657440165192e-06,0.17482995125668271,cpu,42,25496.982155845795,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,924.4642818766555
binary,-1,gbdt,51,13,0.2746827232334327,0.9175810085863368,0.7056904177124563,2,20,0.48925382043425003,2.864437762829306e-07,cpu,42,26748.55410589779,0.8294846195392687,0.774029286183074,"[np.float64(0.8775387090287553), np.float64(0.7036523542921248), np.float64(0.828535444404462), np.float64(0.8841944838388756), np.float64(0.8535021061321254)]",0.0658997182713965,969.8435176210907
binary,-1,gbdt,152,11,0.08051533698437541,0.8997166564970001,0.8527012644880587,2,33,4.308416956319029e-08,0.7387620610938971,cpu,42,10557.496675513621,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,382.7915210861987
binary,-1,gbdt,43,12,0.03191148965135976,0.9675828768765768,0.89231167314226,1,51,0.4766252881610834,0.5114757294224778,cpu,42,9531.181086529969,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,345.5795836832047
binary,-1,gbdt,247,10,0.010374282817577306,0.9119891800069532,0.9091233213555937,2,60,0.4415162037207156,0.009167417010337717,cpu,42,22052.00500646308,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,799.5570161061693
