min_samples_split,min_samples_leaf,criterion,class_weight,random_state,max_leaf_nodes,max_features,score,training_score,cv_scores,cv_std,weight_factor
361,30,gini,"{0: 1, 1: 9371.02586453484}",42,82,,0.8693631947781277,0.837073379981622,"[np.float64(0.863557949770868), np.float64(0.8823330193571602), np.float64(0.8561374171834981), np.float64(0.877357492115234), np.float64(0.8674300954638783)]",0.009428510752612123,339.7727089171816
598,205,entropy,"{0: 1, 1: 8081.614238091451}",42,72,,0.7920525529896014,0.763641656114747,"[np.float64(0.8090107633854393), np.float64(0.8033803592028533), np.float64(0.8027220963952332), np.float64(0.7786232881061744), np.float64(0.7665262578583071)]",0.016502582515220698,293.02149004753585
127,59,gini,"{0: 1, 1: 27373.577503017772}",42,2536,sqrt,0.7295103395829415,0.2629097922917886,"[np.float64(0.6859038809571687), np.float64(0.7443669499507869), np.float64(0.7364053933916136), np.float64(0.7299705776517156), np.float64(0.7509048959634231)]",0.022924758381824863,992.5054861020215
267,13,entropy,"{0: 1, 1: 14753.289735414919}",42,754,log2,0.8379977379931022,0.6742335545158274,"[np.float64(0.8977425465937113), np.float64(0.8308973721252659), np.float64(0.8230319835742861), np.float64(0.8459030967550748), np.float64(0.792413690917173)]",0.034595465600222516,534.9217141543767
71,13,gini,"{0: 1, 1: 14277.935073704008}",42,2565,sqrt,0.747064028252561,0.2746395312525353,"[np.float64(0.7879179146337592), np.float64(0.7532147279519934), np.float64(0.7152064856169168), np.float64(0.7575196325381538), np.float64(0.721461380521982)]",0.026406777136997843,517.6864035874536
237,61,entropy,"{0: 1, 1: 21005.96635623323}",42,462,sqrt,0.7023951962271211,0.5709975256585029,"[np.float64(0.7420385873188904), np.float64(0.6954078338819096), np.float64(0.6539910674597295), np.float64(0.7338230002328388), np.float64(0.6867154922422369)]",0.032239545137001786,761.6299640460786
1920,11,entropy,"{0: 1, 1: 6471.185824645828}",42,236,,0.6614136612501771,0.571303392440051,"[np.float64(0.6908040259506599), np.float64(0.6532115529120408), np.float64(0.6672946256588278), np.float64(0.6719514002074382), np.float64(0.6238067015219186)]",0.022320310137307498,234.63091120766202
243,146,entropy,"{0: 1, 1: 11934.091556558576}",42,149,,0.7132264384144232,0.6532760303755054,"[np.float64(0.7249886227735033), np.float64(0.7087112512832453), np.float64(0.7232500052917893), np.float64(0.71684694028745), np.float64(0.6923353724361281)]",0.011905901563457038,432.7038122884157
923,12,gini,"{0: 1, 1: 21420.66696404376}",42,170,sqrt,0.8714989572942221,0.8302872125988948,"[np.float64(0.8771682877009536), np.float64(0.8704372030014711), np.float64(0.8656732214296298), np.float64(0.8719916178058125), np.float64(0.872224456533243)]",0.00368719110783162,776.6660925278753
77,25,gini,"{0: 1, 1: 15716.8218686298}",42,64,sqrt,0.9226259003574198,0.9027251509292495,"[np.float64(0.928349931736641), np.float64(0.9175442124313398), np.float64(0.9272484812564824), np.float64(0.9137332514869928), np.float64(0.926253624875643)]",0.005868490959174765,569.8572620616944
1852,797,entropy,"{0: 1, 1: 2792.598111666017}",42,536,log2,0.9279896150285417,0.9198921834023457,"[np.float64(0.9537608348238382), np.float64(0.9124112311746589), np.float64(0.9168554071502657), np.float64(0.9277564930254217), np.float64(0.9291641089685244)]",0.014368341450539491,101.25344215607578
1644,58,entropy,"{0: 1, 1: 21086.61528517532}",42,274,,0.6636002494959652,0.5499294059803398,"[np.float64(0.681744578619281), np.float64(0.6523860425243684), np.float64(0.6601401265795991), np.float64(0.6607222233981754), np.float64(0.6630082763584023)]",0.009752753809550735,764.5541161564286
1905,398,entropy,"{0: 1, 1: 21650.91865207708}",42,257,,0.6582089804450684,0.5623666567002632,"[np.float64(0.6772677722861346), np.float64(0.6541005640987649), np.float64(0.6393010604745677), np.float64(0.6576318184704613), np.float64(0.6627436868954131)]",0.012316840077408268,785.0145103966075
1019,470,entropy,"{0: 1, 1: 2767.0410648461566}",42,1130,,0.6241913952176101,0.5084731794936883,"[np.float64(0.629631589530835), np.float64(0.6295257548657487), np.float64(0.6332684207184133), np.float64(0.6210973054209089), np.float64(0.6074339055521453)]",0.009282568077011616,100.32680006209003
1055,575,entropy,"{0: 1, 1: 27244.626507513723}",42,1166,,0.631390262796954,0.542800884192155,"[np.float64(0.6628742578344111), np.float64(0.6352725771799295), np.float64(0.6243570476049362), np.float64(0.607391571238067), np.float64(0.6270558601274263)]",0.01816868001514869,987.8300076972723
