min_samples_split,min_samples_leaf,criterion,class_weight,random_state,max_leaf_nodes,max_features,score,training_score,cv_scores,cv_std,weight_factor
129,24,entropy,"{0: 1, 1: 14022.520727396111}",42,216,log2,0.88761121590909,0.8386582902022465,"[np.float64(0.9147290103400468), np.float64(0.9185390582831501), np.float64(0.86370467582499), np.float64(0.8705840018627098), np.float64(0.8704993332345533)]",0.02385863120279693,508.42564328267423
321,687,entropy,"{0: 1, 1: 4322.556480532555}",42,54,log2,0.94842004310378,0.9453212462835957,"[np.float64(0.9602273328606051), np.float64(0.9588091483484501), np.float64(0.9324132675740321), np.float64(0.9462036703850306), np.float64(0.9444467963507821)]",0.010239740815419313,156.72635483766936
453,447,entropy,"{0: 1, 1: 26925.808515572255}",42,213,,0.661519480054513,0.5757987442550497,"[np.float64(0.6799453893128156), np.float64(0.6720924571634193), np.float64(0.6557373579154584), np.float64(0.654297991236797), np.float64(0.6455242046440742)]",0.012591534057228973,976.2703711815465
90,262,gini,"{0: 1, 1: 15978.8478617955}",42,179,,0.7733345201625165,0.7002452218254063,"[np.float64(0.7786997153047509), np.float64(0.7939399070771641), np.float64(0.761837732574138), np.float64(0.7777871854031285), np.float64(0.7544080604534005)]",0.01388222257806456,579.3577460846402
76,44,entropy,"{0: 1, 1: 17096.86771318676}",42,79,log2,0.9280658038006127,0.9126218249597239,"[np.float64(0.9366050356133648), np.float64(0.9357054409601321), np.float64(0.9324979362021887), np.float64(0.9170035772495396), np.float64(0.9185170289778379)]",0.008537895412681636,619.8946775819741
1756,17,entropy,"{0: 1, 1: 11717.340215807691}",42,205,,0.6792448469420689,0.5943426770917932,"[np.float64(0.6826441732725137), np.float64(0.6743149851302296), np.float64(0.6990665283745741), np.float64(0.686789577291874), np.float64(0.6534089706411532)]",0.015186661727212421,424.8448872066829
1282,192,gini,"{0: 1, 1: 10795.072082497825}",42,114,,0.84107129098558,0.8011094698866433,"[np.float64(0.8321885550393175), np.float64(0.8578111274566872), np.float64(0.8347056706813708), np.float64(0.843172533497026), np.float64(0.8374785682534979)]",0.009132021917946999,391.40548083511163
675,32,entropy,"{0: 1, 1: 17255.7873781542}",42,1134,log2,0.8275792975289844,0.6573189584872364,"[np.float64(0.8506672875633685), np.float64(0.861801094330437), np.float64(0.83497026014436), np.float64(0.827307749296192), np.float64(0.7631500963105645)]",0.03438025217073307,625.6567537779806
75,177,entropy,"{0: 1, 1: 13640.06329546934}",42,391,,0.6008631689615082,0.4503261837809368,"[np.float64(0.6214294029866543), np.float64(0.5916581116979055), np.float64(0.6226001735706878), np.float64(0.6040471604258832), np.float64(0.5645809961264102)]",0.021478986465212502,494.55858117338414
131,14,entropy,"{0: 1, 1: 11550.727706380472}",42,83,log2,0.9210827975387981,0.9088546136536879,"[np.float64(0.9161895287182363), np.float64(0.937769216929313), np.float64(0.9123256355438901), np.float64(0.9148021929174692), np.float64(0.9243274135850814)]",0.00926328328109156,418.80388545448193
195,87,gini,"{0: 1, 1: 23486.718146681913}",42,2812,sqrt,0.6615196209866887,0.3269634444539414,"[np.float64(0.6292294178035074), np.float64(0.6562278408669976), np.float64(0.6410579345088161), np.float64(0.6722054060919078), np.float64(0.7088775056622145)]",0.02773552240798926,851.5765470751435
399,672,entropy,"{0: 1, 1: 25734.184489345018}",42,559,,0.6543607801166603,0.5762173252867432,"[np.float64(0.6848878681723412), np.float64(0.6517616180003598), np.float64(0.6510276654742502), np.float64(0.6405922570539551), np.float64(0.6435344918823953)]",0.01585275462716296,933.0647148046579
50,972,entropy,"{0: 1, 1: 21447.015479039605}",42,520,,0.713518494955854,0.660823685665648,"[np.float64(0.7246499518452274), np.float64(0.7327780541238478), np.float64(0.7019029274178186), np.float64(0.7027284465423449), np.float64(0.7055330948500307)]",0.01272755373724305,777.6214315105542
603,128,entropy,"{0: 1, 1: 4967.349573852816}",42,620,sqrt,0.6738682588974052,0.5055981746897272,"[np.float64(0.7444727846158731), np.float64(0.6739763142019537), np.float64(0.6395127320449591), np.float64(0.6723112418771034), np.float64(0.6390682217471372)]",0.038415569345902775,180.10512885617317
212,384,gini,"{0: 1, 1: 21229.415130175767}",42,1254,,0.6548285976975136,0.5092611166514288,"[np.float64(0.6685681628160488), np.float64(0.657021600855144), np.float64(0.6563829562051521), np.float64(0.6723429926126622), np.float64(0.6198272759985606)]",0.01858949968548641,769.7317232690478
