n_estimators,learning_rate,max_depth,subsample,colsample_bytree,min_child_weight,gamma,tree_method,objective,eval_metric,scale_pos_weight,n_jobs,random_state,score,training_score,cv_scores,cv_std,weight_factor
500,0.13729089560689473,12,0.7664939011352346,0.719252789684635,0.4786916472732633,3.246482780832669,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,3703.361879551683,-1,42,0.47088881586875225,0.13111942828349873,"[np.float64(0.4939092150242891), np.float64(0.5028099103580387), np.float64(0.45347458882797453), np.float64(0.4578879410706348), np.float64(0.4463624240628241)]",0.0229029124551275,134.27572563618787
500,0.29158563729827763,8,0.8013854295818089,0.8917430171813643,0.07910295187645104,4.15079541258868,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,13705.727196354464,-1,42,0.7973317440643434,0.5258687414941973,"[np.float64(0.8625419369860404), np.float64(0.7016097452559611), np.float64(0.6969498126706603), np.float64(0.8155917278750291), np.float64(0.9099654975340262)]",0.08545336961936469,496.93940924966176
500,0.013734775727280303,14,0.5031561112692045,0.6728013781960569,0.018317387339166578,2.4986141128532378,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,22705.78197062887,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,823.2615254473444
500,0.1569025721173349,10,0.5482309231688512,0.6404025632476831,0.12787913911576582,0.3681082751723458,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,23558.761213082933,-1,42,0.6892697761189964,0.42917541040850393,"[np.float64(0.6543545672949718), np.float64(0.6253135351953178), np.float64(0.9345193996994263), np.float64(0.6414389433355207), np.float64(0.5907224350697458)]",0.12446382399660841,854.1886696093917
500,0.07435256292959955,13,0.9796137746390721,0.8951151400300492,0.02362379225729675,0.6947851457470811,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,4526.0801091622925,-1,42,0.41531683981177625,0.11914150625045672,"[np.float64(0.4114005101230857), np.float64(0.45396721242075627), np.float64(0.4109921046504244), np.float64(0.425491607222234), np.float64(0.37473276464238087)]",0.02560658245245309,164.1056722814392
500,0.11152032444851685,11,0.5872732468998059,0.8920832752042462,0.03616111492902801,4.606356663312933,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,10340.557173441492,-1,42,0.5250743906323069,0.2020709034686468,"[np.float64(0.5384550255590717), np.float64(0.5671785536634669), np.float64(0.4918506445399318), np.float64(0.5222360984696145), np.float64(0.5056516309294499)]",0.02623325651490564,374.9257736903718
500,0.01342485078273338,13,0.9532295096482295,0.6930331727051439,0.16923078907280217,1.8234493726472119,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,16722.652998190846,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,606.326478190696
500,0.07019825825483923,14,0.9131716045966316,0.9867917914557804,0.008871828922210424,0.03232513257224123,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,27289.50875325708,-1,42,0.43183349771571067,0.10931468315074164,"[np.float64(0.44028279022511035), np.float64(0.46039137659148877), np.float64(0.4257561966852232), np.float64(0.4338843849882522), np.float64(0.3988527400884787)]",0.020078909780558638,989.4573388389161
500,0.04216104626083072,15,0.7925507967073637,0.9297446846044236,0.014080044169561165,0.4259357233145089,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,5604.668092555728,-1,42,0.423216351086971,0.1402598974701413,"[np.float64(0.4467069543958428), np.float64(0.4525490279086012), np.float64(0.4148233600745084), np.float64(0.4220307770463349), np.float64(0.37997163600956757)]",0.025900454202210012,203.21289130108266
500,0.09992795857244238,9,0.5883609488019372,0.975331121145665,0.9426333501010201,2.4830933803062987,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,9095.051635050879,-1,42,0.5827484145370488,0.3390275726921011,"[np.float64(0.5503402584482522), np.float64(0.6161800035983787), np.float64(0.6029782189954067), np.float64(0.5916432064009483), np.float64(0.5526003852422581)]",0.02670290512032908,329.76649263962656
500,0.035898714618520546,12,0.9872844084186565,0.5271640853579791,0.0015772468749337186,1.459254445518681,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,16365.808480005959,-1,42,0.4010882948614283,0.16883861712614529,"[np.float64(0.4113899266565771), np.float64(0.44546868881433427), np.float64(0.38811040789111617), np.float64(0.3979319687572762), np.float64(0.36254048218783735)]",0.027349825563122557,593.3880837866438
500,0.03155226504040675,12,0.9998004403864716,0.5022861884212096,0.0014523058793956013,1.3037535102542372,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,17249.716212980475,-1,42,0.7393023896636927,0.6422352025039544,"[np.float64(0.40704012192153416), np.float64(0.9650110597225016), np.float64(0.39443938784581845), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",0.27646395116916694,625.4366267324277
500,0.027343436236818803,11,0.8839603286673532,0.79457982559646,0.0010785076780105377,1.2091467176212052,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,13156.797339624274,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,477.0364245473572
500,0.06124243288037157,13,0.6758934952479201,0.5273495712319456,0.00449618353708852,1.188362329963034,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,19536.454969536408,-1,42,0.44912486214216074,0.1721787562676355,"[np.float64(0.47079492416946245), np.float64(0.4705832548392901), np.float64(0.446119001756874), np.float64(0.45999407319602903), np.float64(0.398133056749148)]",0.027045862412722464,708.3487254858212
500,0.02556145848629802,13,0.8605578515525275,0.7889250564418872,0.003657864281637273,1.9075601779617042,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,8165.403125304511,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,296.05949011253205
500,0.044235227718251516,15,0.9949272513380653,0.5997900689812228,0.0028875632302169415,0.7944884587778276,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,11910.762514960996,-1,42,0.3934301047908059,0.1091786763735847,"[np.float64(0.4017695556002413), np.float64(0.4138241239535598), np.float64(0.39918083102258534), np.float64(0.3971805346823868), np.float64(0.3551954786952564)]",0.01997240930205857,431.8579527448997
500,0.021152558474512487,15,0.677296085884535,0.5857500508797131,0.0033403967973717717,1.6814935736488676,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,11607.26296588708,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,420.8537291481797
500,0.042081394371324965,10,0.9317570354108835,0.5993919390397483,0.0022663829870148834,3.0197714633798367,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,15632.756721677933,-1,42,0.4130117557209017,0.19762473578300066,"[np.float64(0.4077174637780859), np.float64(0.44852731063532547), np.float64(0.41761742480367464), np.float64(0.4053510572994941), np.float64(0.3858455220879284)]",0.02052942720029116,566.809245428483
500,0.019230018829976766,14,0.8538208191343672,0.5600468778900579,0.0069864660921192465,0.8784053708880761,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,19211.481022602984,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,696.5658876329285
500,0.04122391800759151,15,0.709687169772174,0.6426434085606935,0.0015524422132916437,1.9528737742603743,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,20181.415090647886,-1,42,0.4202233758139733,0.14732172634741075,"[np.float64(0.44097071554817063), np.float64(0.4295934890514039), np.float64(0.40503354994390706), np.float64(0.4221789471456089), np.float64(0.403340177380776)]",0.014407280011572205,731.7335555632781
500,0.049564348671767136,8,0.8295864441455176,0.5573367304345701,0.005273767926095535,3.273390754059621,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,7613.577488357489,-1,42,0.44834799710145495,0.27492796268429265,"[np.float64(0.4456062738789463), np.float64(0.5101230857154953), np.float64(0.45280782338124165), np.float64(0.4409224647037656), np.float64(0.39228033782782634)]",0.037529427434375005,276.0515108127389
500,0.03520893285218094,10,0.9243397366599644,0.6116213635230687,0.002285935273171662,3.1761587136755054,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,15264.01019196421,-1,42,0.4139896876506164,0.19043058381719155,"[np.float64(0.40881814429498237), np.float64(0.4430450749838602), np.float64(0.42288804690642), np.float64(0.4240099062294943), np.float64(0.37118726583832523)]",0.02401080292108184,553.4393103631228
500,0.05164086846999236,10,0.9491250538972339,0.592881575771249,0.0010095965329789064,2.7268750585669665,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,13276.425978016792,-1,42,0.4065917797515559,0.17157762393603113,"[np.float64(0.4195921132007578), np.float64(0.42589985923989543), np.float64(0.41148953284084416), np.float64(0.3915289037529369), np.float64(0.3844484897233453)]",0.016018827143491697,481.37389486472443
500,0.08276521114720663,9,0.978719210772466,0.5018899056047171,0.0010196207917211417,2.367504882610906,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,12319.19704512895,-1,42,0.4147601313276491,0.17169985798129928,"[np.float64(0.42612211203657646), np.float64(0.4450347666874808), np.float64(0.3992337489151832), np.float64(0.4085896323264822), np.float64(0.3948203966725229)]",0.018560090402038366,446.66688708534195
500,0.05643414649500764,11,0.8959189428199996,0.5512432852129621,0.0019125168029118238,4.068549801526246,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,14038.166750522318,-1,42,0.4053788917066411,0.14265124450254613,"[np.float64(0.41995195106205085), np.float64(0.43023908050842974), np.float64(0.40086362000719683), np.float64(0.40938340071544993), np.float64(0.3664564062400779)]",0.0218256119824995,508.9929335386419
500,0.017141255997945797,12,0.9106041889912888,0.5334205227793086,0.011117057701337725,3.757698629223792,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,10734.023202108678,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,389.19198321318277
500,0.057347387891889666,11,0.8884351238716982,0.760965984334806,0.002534531474955698,3.9120066884498077,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,17831.20610865671,-1,42,0.43664056315649746,0.17969623334249016,"[np.float64(0.45405188015282527), np.float64(0.444696095759205), np.float64(0.43155599771394704), np.float64(0.4215015981203565), np.float64(0.4313972440361535)]",0.011406831536958364,646.5201665623213
500,0.1971428556382761,12,0.9975370453849423,0.639805809743108,0.005693719042601355,4.745063671011351,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,14260.638730453105,-1,42,0.4701670816985578,0.10320903343456748,"[np.float64(0.4835480013123499), np.float64(0.4820451490681258), np.float64(0.45613106703638634), np.float64(0.49028427491903565), np.float64(0.43882691615689096)]",0.01951437747401938,517.0592763672672
500,0.025143948887222402,9,0.9508194616597196,0.5561961744817274,0.04823889498988202,1.5030563604091367,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,15247.376069180027,-1,42,0.9650108375375834,0.9650108375384653,"[np.float64(0.9650110597225016), np.float64(0.9650110597225016), np.float64(0.9650106894143048), np.float64(0.9650106894143048), np.float64(0.9650106894143048)]",1.8141322593289504e-07,552.836193795039
500,0.09704081684384143,12,0.7598971574037752,0.7181010214088058,0.0019010012907547894,0.8562593236159703,hist,binary:logistic,<function eval_function at 0x000001FB1A076FC0>,22228.04346324626,-1,42,0.4735008411207936,0.16148991202885118,"[np.float64(0.48510377088911705), np.float64(0.5125255326129521), np.float64(0.46522236098469616), np.float64(0.45222572656266535), np.float64(0.4524268145545372)]",0.02290341832044865,805.9397818993132
