objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std,weight_factor
binary,-1,gbdt,183,17,0.029174315649133666,0.7077746084136427,0.790257940121965,1,89,3.5607656994474746,5.496603517095224,cpu,42,3393.7534781313266,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,123.05000854023635
binary,-1,gbdt,82,19,0.011361167224805846,0.8004477109235173,0.9647135136004605,4,91,0.0011129773793843814,0.003932823440575013,cpu,42,18692.297875577355,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,677.7414529510589
binary,-1,gbdt,120,14,0.2212161029592389,0.9286334929155056,0.8325630174910934,4,24,3.602732742362616e-07,5.104579682321202e-07,cpu,42,6247.099084558074,0.5377451296244364,0.2665404548948617,"[np.float64(0.5268661297321324), np.float64(0.5415453977795888), np.float64(0.587007599009377), np.float64(0.5320682429142942), np.float64(0.5012382786867896)]",0.028016290884816927,226.50602074074027
binary,-1,gbdt,247,14,0.08831767842747272,0.667748144780851,0.914184340803217,3,30,1.479102342625894e-08,2.760382014107024e-05,cpu,42,10893.8113075331,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,394.9855471428556
binary,-1,gbdt,216,10,0.20538259556718802,0.7533793864879134,0.770885335223989,9,29,0.023142912556249787,9.689805414630909e-06,cpu,42,25957.061916331728,0.6143421450208841,0.2473435539577546,"[np.float64(0.6766221808291087), np.float64(0.6638056028871696), np.float64(0.5847850475202675), np.float64(0.594204432402684), np.float64(0.5522934614651906)]",0.047863608592567074,941.1457582484031
binary,-1,gbdt,175,10,0.08925770356035766,0.6430032885950611,0.9911648937756873,3,16,8.09865683761243e-06,0.29890524115614814,cpu,42,23528.181299672986,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,853.0799094621092
binary,-1,gbdt,156,17,0.01917289649465225,0.7130653622522442,0.6164802572344009,2,11,4.513994655825718e-06,3.987247636513075e-06,cpu,42,7657.922218448053,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,277.6593528235154
binary,-1,gbdt,112,14,0.011777516173805132,0.7600276818993246,0.7692232240985171,6,54,2.4522510129473237e-06,2.1104917983833252e-06,cpu,42,7491.977041103114,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,271.64254705931205
binary,-1,gbdt,250,13,0.034126185213712384,0.6430694070036832,0.9138136102457213,5,52,2.568237573495434,0.004738078539267808,cpu,42,5584.411433600349,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,202.47842956910426
binary,-1,gbdt,144,19,0.03927839465508069,0.8642303858177154,0.6640295011504536,8,48,0.04499816479097131,0.0003741697405242146,cpu,42,25131.112925894362,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,911.1986713483026
binary,-1,gbdt,27,12,0.28010928066241997,0.9989538925863807,0.8747508721480117,7,73,3.078557669949997e-08,9.399293785053574e-08,cpu,42,14385.476782169053,0.6879381457152991,0.5534399752312558,"[np.float64(0.6757120027093674), np.float64(0.7061077185221247), np.float64(0.7173655356349089), np.float64(0.6514615921935525), np.float64(0.6890438795165421)]",0.02314020237737276,521.5856285106327
binary,-1,gbdt,219,10,0.29013933924755847,0.9249556897042951,0.7439427405875083,10,29,0.003898886986329425,3.4612343664270567e-08,cpu,42,19733.527681588756,0.6575274308524205,0.45505435782270637,"[np.float64(0.6548837406204028), np.float64(0.6609586503963508), np.float64(0.6651884935334336), np.float64(0.6706178693139725), np.float64(0.6359884003979426)]",0.011939377362647798,715.4941469365393
binary,-1,gbdt,88,12,0.1469256886454012,0.8393883887089153,0.8382598671806798,9,33,0.06544142947159605,7.850767464243633e-07,cpu,42,11818.47054455948,0.810044632955725,0.7762926699210329,"[np.float64(0.8196894810926371), np.float64(0.7943632457375088), np.float64(0.8047435598924708), np.float64(0.8112101263679276), np.float64(0.8202167516880807)]",0.00971453293465742,428.51164965621604
binary,-1,gbdt,206,16,0.15538558717336445,0.9398550745440544,0.713327847606695,6,37,7.930367666105643e-05,1.068110244449031e-08,cpu,42,19583.922672499735,0.7528723357063677,0.7040859997958355,"[np.float64(0.7584006265412173), np.float64(0.7640416141903119), np.float64(0.7400038100882671), np.float64(0.7448616726287492), np.float64(0.7570539550832928)]",0.008972963797395903,710.0697995982046
binary,-1,gbdt,45,11,0.15921035010319806,0.8905247797174679,0.8409217321079487,10,20,1.3212793162199614e-07,5.401098522502621e-05,cpu,42,27215.360668009234,0.8853379750300135,0.870817921081823,"[np.float64(0.8946415909066856), np.float64(0.8858149798384963), np.float64(0.8789873632072477), np.float64(0.8722032893762038), np.float64(0.8950426518214338)]",0.008874861028114859,986.7688929686482
binary,-1,gbdt,127,15,0.07891623472799708,0.7573915265946697,0.7015452539063335,8,69,0.038290198416815684,1.3059110457784836e-06,cpu,42,16274.011493970858,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,590.0597277382822
binary,-1,gbdt,98,12,0.2247927135793789,0.9861340134077768,0.8258011237533303,5,43,0.00011444392787475377,0.00038946303734026244,cpu,42,23023.769001961373,0.5895789490759159,0.35118976326385326,"[np.float64(0.6171113486511371), np.float64(0.599976716373681), np.float64(0.6025231251190653), np.float64(0.5597972186355651), np.float64(0.5684863366001313)]",0.021751082978369154,834.7910331659468
binary,-1,gbdt,81,13,0.05439205413406076,0.9952163751954607,0.8329514498307903,4,41,8.879314424937062e-05,0.0005604400047776928,cpu,42,22234.91995791059,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,806.1891084142252
binary,-1,gbdt,62,15,0.10683402413286572,0.9434121026544444,0.8889104925652279,5,68,4.409463878357396e-07,0.03228940565460689,cpu,42,11715.77647708279,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,424.7881894928703
binary,-1,gbdt,110,13,0.20563547732278117,0.9675940286004995,0.8092830545358537,4,21,0.00010372146239863643,8.905134150567724e-05,cpu,42,15862.356794886911,0.5999107269825753,0.34071306879666546,"[np.float64(0.5862711272450178), np.float64(0.5889804946712246), np.float64(0.6831594098596617), np.float64(0.5793027538471308), np.float64(0.5618398492898419)]",0.04268473297373862,575.1340371822906
binary,-1,gbdt,117,12,0.05636308070494268,0.9069349228369824,0.9365566740415117,1,45,5.843571392678648e-07,2.475657170655908e-07,cpu,42,22485.42001646972,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,815.2716874947785
binary,-1,gbdt,97,13,0.20248310964379793,0.963655234792414,0.8174669202138546,4,18,4.014799611581307e-05,0.0001041536873991431,cpu,42,15763.204720018579,0.6141115875980457,0.37552975746860284,"[np.float64(0.6141585614952322), np.float64(0.6485124937822134), np.float64(0.6089685244374828), np.float64(0.5718836653049129), np.float64(0.6270346929703872)]",0.02513992730765931,571.5390018510714
binary,-1,gbdt,145,14,0.21004320184272382,0.9672811090078174,0.8674813361559903,3,23,0.0004320207624160875,0.001049898774230362,cpu,42,13623.483835462337,0.5836205303954948,0.32591777880341016,"[np.float64(0.5774445161768286), np.float64(0.5753807402076476), np.float64(0.6278496285163939), np.float64(0.5829329212793429), np.float64(0.5544948457972609)]",0.024128939985707806,493.9574465569189
binary,-1,gbdt,151,14,0.13615640646572894,0.8488801312021558,0.8622176790009524,3,25,0.0006117811945962302,0.002767623715546933,cpu,42,9198.709102482404,0.7778749697054348,0.7230516665862045,"[np.float64(0.7605808206419931), np.float64(0.7674812408056134), np.float64(0.7965836208538831), np.float64(0.7855237813009335), np.float64(0.7792053849247508)]",0.012785969994842663,333.52488355838346
binary,-1,gbdt,167,16,0.23330986742842602,0.8980146008337252,0.8834928225819452,2,11,0.0029269846046022677,0.029939242890892864,cpu,42,2796.3404770055045,0.5330946207890845,0.23246840986388984,"[np.float64(0.5471863854286834), np.float64(0.5611142273540275), np.float64(0.5310628029549351), np.float64(0.5473615138750715), np.float64(0.4787481743327054)]",0.02879196050006417,101.38913206105916
binary,-1,gbdt,170,17,0.11606359181394495,0.8793616749615508,0.8948002061951346,2,10,0.0025205905986589914,0.05497241656730905,cpu,42,2998.6587901182306,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,108.72474742522374
binary,-1,gbdt,192,16,0.2911894168771973,0.8243102949179184,0.9545972872347149,2,61,0.3468708991468973,0.8094362551228264,cpu,42,5231.650603364121,0.5745693782813536,0.2503927667010099,"[np.float64(0.6106660175473875), np.float64(0.5779525225692423), np.float64(0.5507270918442944), np.float64(0.5883199627458036), np.float64(0.5451812967000402)]",0.024230582189726825,189.68810067428728
binary,-1,gbdt,200,16,0.2670926493499086,0.8220593209225844,0.9506908990612302,2,61,0.4689521724594291,2.2445068819335368,cpu,42,5416.354482359846,0.533393102681778,0.13943119884342603,"[np.float64(0.5364865007884683), np.float64(0.560013546837131), np.float64(0.5051859534745888), np.float64(0.5427470736405393), np.float64(0.5225324386681625)]",0.018543522970489557,196.38505554572748
binary,-1,gbdt,200,18,0.17267417512355998,0.7995452054422596,0.981823412735789,1,61,0.471422232858477,9.839736596978959,cpu,42,5017.703800938291,0.36398671849798886,0.1052072267118048,"[np.float64(0.3668335326552859), np.float64(0.3877464624763195), np.float64(0.3715894418220689), np.float64(0.3671972567364477), np.float64(0.3265668987998222)]",0.02020386917760271,181.93086196048705
binary,-1,gbdt,232,20,0.1733408673902036,0.7221254018188088,0.998466226541299,1,82,8.341149792981055,5.097709780926126,cpu,42,4422.7540496446445,0.3606169099200339,0.12554240488301732,"[np.float64(0.36136188047032924), np.float64(0.39188459788119), np.float64(0.36230764346040684), np.float64(0.3626145672374743), np.float64(0.32491586055076943)]",0.021258586181993187,160.35929748197196
