objective,verbosity,boosting_type,num_leaves,max_depth,learning_rate,feature_fraction,bagging_fraction,bagging_freq,min_child_samples,lambda_l1,lambda_l2,device,random_state,scale_pos_weight,score,training_score,cv_scores,cv_std,weight_factor
binary,-1,gbdt,72,19,0.029454087434079373,0.7277078554305384,0.7287395895433799,4,26,2.459479077273741e-07,4.6310415923707434e-08,cpu,42,22061.154258216025,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,799.8887477754231
binary,-1,gbdt,216,10,0.032971648186683036,0.7399157217942542,0.7279031960093602,9,92,0.0003515177272996902,0.002144546703076014,cpu,42,9771.279868913814,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,354.28503545311355
binary,-1,gbdt,223,18,0.06203122060155407,0.8631405207552485,0.623932489242267,5,37,5.966860748336796e-08,0.10821949950104318,cpu,42,10149.150371990436,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,367.985785649113
binary,-1,gbdt,79,12,0.010002391686401164,0.8056586528479661,0.8233646683434471,4,15,2.405869985627013e-07,1.043423945016207,cpu,42,20629.14630065856,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,747.967300757369
binary,-1,gbdt,125,12,0.04185270039869382,0.9368373914340907,0.8516250026101182,2,21,8.474619824780427e-07,1.621690540519594e-07,cpu,42,7827.350900008242,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,283.8024627598393
binary,-1,gbdt,227,13,0.2448794846655097,0.8982804707833743,0.7421730170756915,2,18,4.766892770890451e-06,0.006727673788245836,cpu,42,6061.921784878057,0.7112451792086592,0.46975067407066967,"[np.float64(0.7385777937705716), np.float64(0.7014086593922974), np.float64(0.7266155832610122), np.float64(0.7113858137713523), np.float64(0.6782380458480621)]",0.02083059717043561,219.79190068048462
binary,-1,gbdt,41,15,0.0135751165122809,0.7859371068944851,0.8724817468672246,8,66,1.700456694677529e-06,0.00025773023646572484,cpu,42,27062.086061427737,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,981.2114941268092
binary,-1,gbdt,193,10,0.024874999274284184,0.7808981623196006,0.8300441174966612,5,35,0.07917905914373119,1.889175239191897e-08,cpu,42,11328.717101673099,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,410.7542710728541
binary,-1,gbdt,120,17,0.01929252279693474,0.8758259467950944,0.7569224848012314,6,91,1.6844775340351709e-06,2.3180634344946872e-05,cpu,42,8858.667148519471,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,321.19571303707124
binary,-1,gbdt,159,18,0.058964595772644256,0.9305453936089099,0.736311102581414,2,39,0.084101906425581,0.004562368733346992,cpu,42,11810.849086642915,3.4989162462416536,3.4989162461534726,"[np.float64(3.498894027749849), np.float64(3.498894027749849), np.float64(3.4989310585695237), np.float64(3.4989310585695237), np.float64(3.4989310585695237)]",1.8141322591984156e-05,428.23531241847456
