feature,gain
C8,400.8336486816406
R_emaildomain,280.814208984375
C4,173.6932373046875
id_12,171.76275634765625
C14,147.2954559326172
C3,146.0373077392578
D3,101.11128234863281
C1,93.11258697509766
id_17,84.40059661865234
ProductCD,76.47103881835938
card3,75.11341094970703
id_32,73.100830078125
M4,66.96183013916016
card6,63.07419204711914
C5,58.348236083984375
D2,50.979652404785156
C11,49.75107192993164
V_PCA_2,49.73202133178711
C13,43.46775436401367
M5,42.47639846801758
addr2,38.41691589355469
C2,37.349159240722656
C12,36.41823196411133
V_PCA_3,35.164127349853516
C6,34.798072814941406
C9,34.69477081298828
D1,33.63236999511719
id_36,33.57378387451172
V_PCA_9,33.30484390258789
C7,32.41740417480469
D8,31.51900863647461
id_03,29.108144760131836
D13,28.388263702392578
D10,27.92669677734375
M6,25.510250091552734
id_08,24.564516067504883
id_30,24.191242218017578
D15,24.054075241088867
id_04,23.94394874572754
id_14,23.79819107055664
id_09,23.240278244018555
id_34,22.62922477722168
D4,22.563228607177734
DeviceType,22.34840202331543
DecimalPlaces,21.897705078125
M3,21.077733993530273
id_16,20.363174438476562
id_07,20.358673095703125
id_21,19.788410186767578
D11,19.62813377380371
