feature,gain
f21,255.73756408691406
f13,185.72549438476562
f27,91.22919464111328
f30,81.86339569091797
f63,81.79113006591797
f16,73.70634460449219
f17,61.88196563720703
f1,52.44989013671875
f14,50.56217575073242
f23,49.06826400756836
f46,47.877079010009766
f87,41.9578742980957
f4,41.72712326049805
f9,41.57389450073242
f68,40.959022521972656
f18,40.49439239501953
f7,38.12669372558594
f96,35.35016632080078
f24,33.99462890625
f26,32.94135284423828
f29,31.780637741088867
f74,30.813465118408203
f15,28.640958786010742
f83,27.531246185302734
f86,27.501829147338867
f19,26.732318878173828
f47,25.375879287719727
f25,23.53386878967285
f28,22.330827713012695
f22,21.86429214477539
f20,20.018285751342773
f35,18.833242416381836
f90,17.840436935424805
f54,17.275320053100586
f37,16.95573616027832
f97,16.905311584472656
f42,16.651395797729492
f48,15.808374404907227
f31,15.74514389038086
f34,15.445706367492676
f103,15.433614730834961
f40,15.330497741699219
f65,15.070880889892578
f60,15.03659439086914
f38,14.647194862365723
f89,14.093605995178223
f77,13.6900053024292
f12,13.605912208557129
f10,13.604657173156738
f32,13.524502754211426
