feature,gain
C5,420.1199645996094
uid_C8_mean,366.42242431640625
C14,352.1217346191406
C8,300.615966796875
C4,238.61956787109375
D3,210.84681701660156
R_emaildomain,190.63650512695312
C1,153.04197692871094
M4,117.79534912109375
uid_C3_rel,97.08826446533203
uid_V_PCA_1_mean,92.79671478271484
id_17,90.0419692993164
C3,85.04022979736328
card6,84.24866485595703
uid_V_PCA_4_mean,81.79088592529297
D2,72.87145233154297
uid_C10_mean,69.96131896972656
C13,68.3828125
uid_ProductCD_ct,67.66205596923828
id_23,62.326560974121094
uid_C3_mean,57.710269927978516
id_32,56.18562698364258
uid_ProductCD_freq,53.24348831176758
ProductCD,53.07621383666992
uid_card4_ct,52.617244720458984
card3,52.27622604370117
uid_C12_mean,52.04420852661133
C11,51.0697135925293
uid_id_33_ct,47.86152648925781
id_12,47.33776092529297
id_36,47.227684020996094
uid_C13_std,45.55168533325195
addr2,44.83595657348633
uid_V_PCA_3_std,44.66670227050781
uid_M6_freq,43.626155853271484
C12,42.67311477661133
C7,41.63616943359375
C6,41.311527252197266
uid_P_emaildomain_ct,41.23863220214844
uid_id_30_ct,41.02101516723633
uid_M9_ct,40.224510192871094
uid_V_PCA_13_mean,39.398841857910156
uid_id_30_freq,39.349586486816406
D1,38.59001159667969
uid_C5_mean,37.51004409790039
uid_C9_std,37.34386444091797
D10,37.1423454284668
uid_M5_freq,36.26399612426758
uid_C14_std,36.04118728637695
uid_C5_std,35.45870590209961
